0,1,2,3,4,5,6
,Table 03: Purpose of visit from main source markets,,,,,
,,Visiting,,,,
,Pleasure/,,,,,
,,friends,,,,
Country,Vacation,,MICE,Business,Other,Total
,,& relatives,,,,
India,"85,724","11,658","9,405","24,439","8,428","139,654"
Russian,,,,,,
,"55,460","2,894","6,786",97,"53,047","118,284"
Federation,,,,,,
United,,,,,,
,"30,810","29,010","1,219","1,400","5,865","68,304"
Kingdom,,,,,,
Germany,"35,240","8,182","1,936",393,"7,459","53,210"
France,"22,848","7,052","2,610",389,"2,121","35,020"
Australia,"11,782","16,389",411,632,"3,007","32,221"
China,"24,283",815,"1,686","2,162",978,"29,924"
Canada,"6,056","19,906",363,198,"1,640","28,163"
United  States,,,,,,
,"13,227","7,761",712,858,"3,328","25,886"
UMaldives,507,369,22,17,"19,280","20,195"
