0,1,2,3,4,5,6,7
,,"Visitors to conservation forests, 2023",,,,,
,Table: 16 Visitors to conservation forests,,,,,,
,,Number of visitors,,,Income without VAT,,
,Name of the Forest,,Foreign,Total,Domestic,,Total
,,,,,,Foreign  tourists,
,,Domestic tourists,tourists,,tourists,,
,Makandawa  Conservation  Forest,"1,491",557,"2,048","80,177.88","411,652.54","491,830.42"
,Kottawa Conservation  Forest,"1,185",186,"1,371","70,481.69","101,582.74","172,064.43"
,Kanneliya  Conservation  Forest,"33,739","1,726","35,465","2,578,005.35","1,722,260.88","4,300,266.23"
,Hurulu  Eco Park,"43,585","67,618","111,203","7,337,913.05","115,617,391.31","122,955,304.36"
,Sinharaja  Conservation  Forest,"45,153","12,232","57,385","4,799,505.53","12,021,188.57","16,820,694.10"
,Udawattakele  Conservation  Forest,,,,,,
,/ Kandy,"21,781","3,947","25,728","1,177,126.45","3,044,352.33","4,221,478.78"
,Knuckles  Conservation  Forest,"123,223","17,982","141,205","7,147,193.88","3,047,214.32","10,194,408.20"
,Kurulukele,"1,765",0,"1,765","94,990.18",0.00,"94,990.18"
,Nuwaragala  (Ampara),"1,166",0,"1,166","143,374.72","7,826.00","151,200.72"
,Rathna  Ella  ( Kandy  ),"5,076",638,"5,714","303,565.37","471,842.98","775,408.35"
,Mandaramnuwara  ( Nuwara Eliya,,,,,,
,),"14,227",03,"14,230","847,824.80","2,347.80","850,172.60"
,Piduruthalagala  ( Nuwara Eliya  ),"15,362",54,"15,416","857,685.31","40,695.20","898,380.51"
,Badagamuwa  Ecological  Zone (,,,,,,
,Kurunegala  ),"5,752",01,"5,753","234,956.49",521.73,"235,478.22"
,Galwila  Eco Park (Puttlam),153,09,162,"15,285.00","6,885.00","22,170.00"
S,Dolukanda  ( Kurunegala  ),"2,119",07,"2,126","133,649.75","4,590.00","138,239.75"
,ource:  Department  of  Wildlife  Conservation,"8,336","10,972","19,308","492,140.70","7,779,054.42","8,271,195.12"
,Geradigala,278,01,279,"29,009.30",782.61,"29,791.91"
,Yahangala,82,02,84,"8,556.70","1,565.22","10,121.92"
,Kande Ela   Nuwara  Eliya,371,0,371,"13,343.52",0.00,"13,343.52"
,Gal  Oya,654,"2,401","3,055","67,095.64","1,866,130.44","1,933,226.08"
,Ek Gal  Oya,205,0,205,0.00,0.00,"133,200.00"
,Total,"325,703","118,336","444,039","26,431,881.3","146,147,884.09","172,712,965.40"
