0,1,2,3,4,5,6
"Table 07: SLTDA registered accommodation establishments,",,,,,,
2022 & 2023,,,,,,
,,2022,,,2023,
Category,,,,,,
,Number  of,,Number  of,Number  of,,Number  of
,establishments,,rooms,establishments,,rooms
Boutique Hotel,40,,845,41,,865
Boutique Villa,49,,346,51,,356
Bungalow,857,,"3,513",984,,"4,078"
Classified Tourist,156,,"15,080",168,,"16,686"
Hotel,,,,,,
1 Star,28,,"5,931",41,,"1,852"
2 Star,28,,"3,110",41,,"2,499"
3 Star,26,,"2,449",26,,"2,462"
4 Star,37,,"1,903",30,,"3,590"
5 Star,37,,"1,687",30,,"6,283"
Guest House,"1,380",,"15,438","1,679",,"18,622"
Eco lodge,*,,*,1,,20
Heritage Bungalow,4,,19,4,,19
Heritage Home,3,,9,2,,2
Heritage Hotel,*,,*,2,,312
Home Stay Unit,"1,009",,"3,049","1,080",,"3,231"
Hostels,11,,133,12,,143
Rented  Apartment,85,,323,86,,328
Rented Home,10,,28,14,,41
Themed,,,,,,
Accommodation &,,,11,,,11
Value-added Activities,,,,,,
Tourist Hotel,224,,"9,326",221,,"8,515"
Total,"3,829",,"48,120","4,346",,"1  153,229"
