0,1,2,3,4,5,6,7
Location,Year,Domestic Tourists,,Foreign Tourists,,Total,
,,Number,Revenue,Number,Revenue,Number,Revenue
Dehiwala,2016,"1,392,217","110,518,710","32,334","50,321,200","1,424,551","160,839,910"
,2017,"1,360,566","108,123,900","27,626","42,198,850","1,388,192","150,322,750"
,,,,,,,
Pinnawala,2016,"666,881","49,915,190","381,105","788,248,500","1,047,986","838,163,690"
,2017,"611,584","44,793,230","339,744","683,990,550","951,328","728,783,780"
,,,,,,,
Pinnawala	Zoo,2016,"267,656","20,972,850","1,838","1,509,250","269,494","22,482,100"
,2017,"253,266","19,491,570","1,559","1,278,000","254,825","20,769,570"
,,,,,,,
"Ridiyagama	Safari	
Park",2016,"217,207","48,560,000",499,"991,250","217,706","49,551,250"
,2017,"290,854","63,801,100",756,"1,513,250","291,610","65,314,350"
,,,,,,,
Total,2016,"2,543,961","229,966,750","415,776","841,070,200","2,959,737","1,071,036,950"
,2017,"2,516,270","236,209,800","369,685","728,980,650","2,885,955","965,190,450"
