0,1,2,3,4,5,6,7,8,9
MIDDLE EAST,"95,581","55,685","39,896","22,943","25,640","23,190","10,976","8,172","4,660"
Saudi	Arabia,"35,481","20,380","15,101","9,553","9,421","9,178","3,808","2,622",899
UAE,"7,136","4,473","2,663","1,919","1,482","1,729",916,732,358
Israel,"11,080","6,262","4,818","1,370","3,529","2,183","1,412","1,211","1,375"
Kuwait,"4,327","2,835","1,492",787,887,992,591,665,405
Oman,"8,343","4,733","3,610","2,298","2,485","2,021",893,448,198
Others,"29,214","17,002","12,212","7,016","7,836","7,087","3,356","2,494","1,425"
EAST ASIA,"444,310","213,828","230,482","33,611","78,930","115,924","86,438","67,584","61,823"
China(P.R.),"268,952","116,919","152,033","23,871","52,491","70,110","50,480","38,582","33,418"
Indonesia,"25,806","14,261","11,545","1,407","5,936","9,165","4,885","2,905","1,508"
Japan,"44,988","22,971","22,017","2,083","5,206","10,161","9,349","6,754","11,435"
Malaysia,"26,414","16,007","10,407","1,810","3,299","5,688","5,538","5,403","4,676"
Philippines,"16,845","10,705","6,140",512,"3,863","7,045","3,472","1,530",423
Singapore,"19,457","11,165","8,292","1,638","2,378","3,863","4,102","4,267","3,209"
Thailand,"10,828","5,390","5,438",307,"1,315","2,933","2,403","1,913","1,957"
South	Korea,"15,963","9,168","6,795",828,"1,806","3,101","3,276","3,910","3,042"
Others,"15,057","7,242","7,815","1,155","2,636","3,858","2,933","2,320","2,155"
SOUTH ASIA,"518,085","368,392","149,693","50,182","80,478","145,430","112,547","72,848","56,600"
India,"384,628","284,367","100,261","32,336","56,315","106,781","85,251","56,608","47,337"
Maldives,"79,371","47,790","31,581","11,762","14,023","21,993","16,424","9,714","5,455"
Pakistan,"31,815","21,182","10,633","3,773","6,373","10,111","5,918","3,557","2,083"
Bangladesh,"15,510","10,246","5,264","1,657","2,717","4,647","3,485","2,017",987
Others,"6,761","4,807","1,954",654,"1,050","1,898","1,469",952,738
AUSTRALASIA,"92,003","48,098","43,905","14,109","14,093","18,247","13,430","14,639","17,485"
Australia,"81,281","42,534","38,747","12,558","12,246","15,999","11,803","12,926","15,749"
New	Zealand,"10,332","5,363","4,969","1,490","1,788","2,171","1,570","1,651","1,662"
Others,390,201,189,61,59,77,57,62,74
TOTAL,"2,116,407","1,162,004","954,403","238,085","378,750","520,579","369,346","323,104","286,543"
