0,1,2,3,4,5,6,7,8,9,10,11,12
,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
A.,"Accommodation
Capacity -(Tourist
Hotels)",,,,,,,,,,,
(a). No.	of	Units,,245,256,242,253,252,269,304,334,354,382,401
(b). No.	of	Rooms,,"14,604","14,793","14,461","14,714","14,653","15,510","16,655","18,078","19,376","22,126","23,477"
(c). No.	of	Beds,,"27,500","28,698","28,344","28,978","28,844","30,399","34,840","36,883","38,370","45,508","47,259"
B.,"Accommodation
Capacity-
Supplementary 
Establishments",,,,,,,,,,,
(a). No.	of	Units,,513,578,629,530,654,930,"1,021","1,265","1,409","1,558","1,693"
(b). No.	of	Rooms,,"5,030","5,397","5,946","5,895","6,141","8,207","8,513","9,916","10,702","11,535","12,509"
(c). No.	of	Beds,,"8,299","9,712","11,654","11,210","11,601","13,347","16,105","18,340","20,211","21,570","23,392"
C.,"Guest Nights -
Tourist Hotels",,,,,,,,,,,
(a).,Foreign,"2,777,599","2,763,223","2,818,487","4,126,544","5,011,480","5,038,066","6,969,239","7,982,110","8,945,380",,"10,595,118 11,609,886"
(b). Local,,"1,051,077","979,438","1,163,220","1,464,098","1,607,393","1,457,063","1,439,483","2,072,886","1,588,223","1,727,292","1,805,141"
D.,"Guest Nights -
Supplementary 
Establishments",,,,,,,,,,,
(a).,Foreign,"598,931","701,254","779,317","1,249,146","2,241,407","2,372,266","2,728,603","3,596,548","4,349,313","5,404,602","6,204,126"
(b). Local,,"497,321","421,987","471,730","425,350","574,958","682,374","639,275","512,017","636,644","812,188","920,196"
E.,"Foreign Guest 
Nights (Total)",,"4,940,080 4,165,511","4,075,799","6,544,760",,"8,559,750 10,056,050 10,909,050 15,118,815 18,163,638 20,918,486 23,068,836",,,,,
(a).,Tourist	Hotels,"2,777,599","2,763,223","2,818,487","4,126,544","5,011,480","5,038,066","6,969,239","7,982,110","8,945,380",,"10,595,118 11,609,886"
(b).,"Supplementary
Establishments","598,931","701,254","779,317","1,249,146","2,241,407","2,372,266","2,728,607","3,596,548","4,349,313","5,404,602","6,204,126"
(c). Others,,"1,563,550","701,034","477,995","1,169,070","1,306,863","2,645,718","1,211,204","3,540,157","4,868,945","4,918,766","5,254,824"
