0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Class of 
Accommodation","Number of 
Units",,"Number of 
Rooms",,"Number of 
Beds",,Total Guest Nights,,Foreign Guest Nights,,Local Guest Nights,,"Occupancy 
Rate",
,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,,,,
Hotel **,382,401,"22,126","23,477","45,508","47,259","12,322,410","13,415,027","10,595,118","11,609,886","1,727,292","1,805,141",74.76,73.27
5	Star,17,20,"3,550","4,217","7,377","8,720","2,300,803","2,493,193","2,069,510","2,228,806","231,293","264,387",74.81,74.64
4	Star,18,18,"2,185","2,092","4,540","4,326","1,566,801","1,179,622","1,388,625","1,022,881","178,176","156,741",75.37,72.81
3	Star,16,25,"1,798","2,957","3,736","6,115","1,192,831","1,773,795","1,093,618","1,648,554","99,213","125,241",75.33,73.45
2	Star,33,36,"1,902","1,718","3,952","3,553","1,203,261","988,223","1,079,872","879,092","123,389","109,131",74.27,72.89
1	Star,34,40,"1,329","1,767","2,762","3,654","1,027,702","914,733","876,229","715,856","151,473","198,877",73.84,71.54
,,,,,,,,,,,,,,
"Small luxury Hotel 
(Boutique Hotel)",24,26,448,508,931,"1,051","212,016","304,916","194,592","285,683","17,424","19,233",74.35,73.01
,,,,,,,,,,,,,,
Unclassified **,240,236,"10,914","10,218","22,700","21,131","4,818,996","5,760,545","3,892,672","4,829,014","926,324","931,531",75.37,74.54
,,,,,,,,,,,,,,
Supplementary,,,,,,,,,,,,,,
Establishments**,,"1,558 1,693","11,535","12,509","23,970","25,869","6,216,790","7,124,322","5,404,602","6,204,126","812,188","920,196",74.89,74.91
