0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Czech	Republic,13,10,406,682,245,40,0,12,19,869,258,21,191,473,93,11
Poland,9,15,283,"2,132",331,23,5,53,180,"1,747",297,28,294,792,"3,014",691
Others,"1,206",421,303,"4,175",208,59,385,"2,021",131,"4,544",445,523,"1,866","1,652",984,"3,822"
,,,,,,,,,,,,,,,,
Africa,117,124,79,"1,478",3,75,118,262,58,"3,061",215,340,212,37,94,289
South	Africa,34,19,45,442,2,12,45,69,28,724,105,174,9,1,74,221
Others,83,105,34,"1,036",1,63,73,193,30,"2,337",110,166,203,36,20,68
,,,,,,,,,,,,,,,,
Middle East,218,514,"4,071","9,166",15,"7,089",30,527,221,"24,775","5,253",435,"1,676",826,"2,624",105
Saudi	Arabia,25,55,962,"1,748",0,"6,494",10,46,59,"9,197","3,229",44,11,8,"1,648",0
UAE,7,1,37,110,0,13,1,9,21,773,255,46,8,1,69,3
Israel,13,18,218,"2,296",9,53,1,19,101,"1,610",166,143,"1,488",798,322,0
Kuwait,7,11,55,187,0,5,0,4,0,"1,672",597,15,5,0,205,5
Oman,6,44,"2,099",174,2,30,1,8,3,"4,442",152,23,5,0,22,4
Others,160,385,700,"4,651",4,494,17,441,37,"7,081",854,164,159,19,358,93
,,,,,,,,,,,,,,,,
East Asia,"5,845","6,550",659,"4,741",29,"2,137","3,094","11,893",,"527 155,136","38,559","14,256",647,212,"10,543","4,770"
China,"2,609","2,205",229,632,11,46,814,"3,394",217,"91,061","23,648","4,409",163,54,"2,476",839
Indonesia,157,436,27,400,0,"1,952",21,300,8,"12,745","4,504",64,30,2,"2,375",230
Japan,537,288,56,263,3,31,253,"1,671",93,"20,821","5,329","3,089",27,6,"1,437",59
Malaysia,"1,445","2,414",24,133,3,11,75,325,42,"10,289",867,85,12,7,688,126
Philippine,278,89,233,"2,643",2,22,38,612,23,"2,816",655,544,216,109,355,"2,585"
Singapore,137,153,18,234,3,17,"1,784","4,284",34,"6,278","1,370",95,47,17,"1,242",91
Thailand,29,26,11,53,3,0,4,44,11,"4,814","1,123","3,440",14,2,807,33
South	Korea,148,95,20,122,1,6,69,280,82,"2,638",349,676,10,2,264,193
Others,505,844,41,261,3,52,36,983,17,"3,674",714,"1,854",128,13,899,614
