0,1,2,3,4,5,6,7
,,Revenue from Sale of Tickets - 1987 to 2014,,,,,
Year,Total no. of,Collection,,,,,
,foreign visitors,in Rs.’000,,,,,
1987,"5,538",138.5,,,,,
1988,"12,315",254.0,,,,,
1989,"20,354",479.3,,,,,
,,,,Details by Museums - 2014,,,
1990,"38,248",902.1,,,,,
,,,,,Foreign Tickets,,Local Tickets
1991,"22,159",821.4,,,,,
,,,Museums,,,,
1992,"26,920","1,005.8",,No. of,Revenue,No. of,Revenue
,,,,Foreign,(in Rs.),Domestic,(in Rs.)
1993,"31,373","1,180.8",,,,,
,,,,Tourists,,Tourists,
1994,"31,229","1,154.1",,,,,
1995,"24,997","1,171.0",,,,,
,,,Colombo National Museum,"42,756","10,433,950","207,577","1,923,610"
1996,"13,278",622.2,,,,,
1997,"13,916",712.1,,,,,
,,,National History Museum,899,"262,650","59,505","689,575"
1998,"14,417",738.7,,,,,
1999,"16,686",860.7,Kandy National Museum,"2,723","1,347,900","19,387","231,390"
2000,"10,122",506.2,,,,,
,,,Ratnapura National Museum,107,"31,800","19,054","218,395"
2001,"11,157",620.4,,,,,
2002,"13,577",769.0,,,,,
,,,Galle National Museum,"4,067","1,198,350","29,109","310,230"
2003,"19,213","1,181.1",,,,,
2004,"23,883","1,463.2",,,,,
,,,Anuradhapura Folk Museum,120,"35,550","4,649","58,480"
2005,"15,281","3,937.6",,,,,
2006,"13,771","6,522.5",Dutch Museum,"2,477","1,214,300","5,062","94,225"
2007,"9,040","4,190.9",,,,,
2008,"7,353","3,340.6",Galle Maritime Museum,"3,787","1,104,150","39,896","414,055"
2009,"10,244","4,636.4",,,,,
,,,Independence Memorial Museum,668,"184,200","29,336","214,260"
2010,"22,061","9,868.6",,,,,
2011,"31,096","14,200.0",,,,,
,,,Total,"57,604","15,812,850","413,575","4,154,220"
2012,"37,305","16,843.0",,,,,
2013,"44,751","14,981.0",Source : Department of National Museum,,,,
2014,"57,604","15,812.8",,,,,
