0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Category of,,No. of,,,Managerial,,,Technical,,,Manual &,,,Total,
Establishments,,Establishments,,,Scientific &,,,Clerical Allied,,,Operative,,,,
,,,,,Professional,,,and Supervisory,,,,,,,
,2012,2013,2014,2012,2013,2014,2012,2013,2014,2012,2013,2014,2012,2013,2014
Hotels and,,,,,,,,,,,,,,,
Restaurants,"1,306","1,745","2,040","6,037","11,432","14,889","22,707","43,000","50,853","19,017","36,012","39,259","47,761","90,444","105,001*"
Travel Agents and,,,,,,,,,,,,,,,
Tour Operators,533,592,678,"2,232","2,095","2,394","3,543","4,321","5,830",634,595,868,"6,409","7,011","9,092*"
Airlines,29,31,29,814,848,896,"3,591","3,739","3,826","1,225","1,275","1,214","5,630","5,862","5,936*"
Agencies Providing,,,,,,,,,,,,,,,
Recreational Facilities,48,62,71,121,156,179,234,302,372,197,254,267,552,712,818*
Tourist Shops,52,58,63,117,172,224,763,"1,123","1,287",132,195,169,"1,012","1,490","1,680*"
Guides,-,-,-,-,-,-,"3,896","4,295","4,420",-,-,-,"3,896","4,295","4,420*"
National Tourist,,,,,,,,,,,,,,,
Organization,4,4,4,133,177,190,148,196,212,129,171,196,410,544,598*
State Sector,18,18,18,655,655,673,690,690,708,847,847,864,"2,192","2,192","2,245*"
Total,"1,990","2,510","2,903","10,109","15,535","19,445","35,572","57,666","67,508","22,181","39,349","42,837","67,862","112,550","129,790*"
