0,1,2,3,4,5,6,7,8,9
,Tourist Arrivals by Country of Residence & Occupation - 2014,,,,,,,,
,,,,,Scientists,,Other,No,
Country of,Total,Business-,Profess-,Execu-,,Educa-,,,Retired
,,,,,& Tech-,,Occupa-,Occupa-,
Residence,,men,ionals,tives,,tionists,,,Persons
,,,,,nicians,,tion,tion,
NORTH AMERICA,"72,653","6,990","15,237","4,059","8,011","8,902","11,285","15,001","3,168"
Canada,"33,282","3,221","6,442","3,221","2,147","4,294","7,515","5,368","1,074"
USA,"39,371","3,769","8,795",838,"5,864","4,608","3,770","9,633","2,094"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"4,124",395,921,88,614,483,395,"1,009",219
WESTERN EUROPE,"479,007","61,841","99,513","36,750","42,676","52,569","66,711","68,714","50,233"
Austria,"12,664",551,"3,303",551,"1,101","1,101","4,405","1,101",551
Belgium,"9,915",911,"1,720",809,910,911,"1,416","2,327",911
Denmark,"11,239","1,297","2,305","1,009",720,"1,008","1,297","2,738",865
France,"78,883","10,682","12,325","7,395","9,586","10,409","10,599","8,574","9,313"
Netherlands,"24,196","2,222","4,197","1,975","2,223","2,222","3,457","5,679","2,221"
Italy,"21,116","4,097","5,988",315,"2,206","1,261","3,152","1,261","2,836"
Norway,"9,237","1,066","1,895",829,592,829,"1,066","2,250",710
Spain,"11,914","1,021","3,064","1,021",681,"1,702","2,042","1,702",681
Sweden,"14,259","1,222","3,667","1,222",815,"2,037","2,444","2,037",815
Switzerland,"20,097","1,723","5,168","1,723","1,148","2,871","3,445","2,871","1,148"
UK,"144,168","20,188","29,689","10,450","12,351","16,388","15,740","16,863","22,499"
Germany,"102,977","14,293","22,415","8,121","8,771","9,745","15,593","19,166","4,873"
Others,"18,342","2,568","3,777","1,330","1,572","2,085","2,055","2,145","2,810"
EASTERN EUROPE,"154,153","19,566","45,414","15,217","20,556","8,717","29,144","13,451","2,088"
Russia,"69,718","6,025","21,518","6,455","8,607","4,734","11,620","9,468","1,291"
Ukraine,"29,882","4,792","8,456","3,101","4,229","1,410","6,202","1,410",282
Others,"54,553","8,749","15,440","5,661","7,720","2,573","11,322","2,573",515
AFRICA,"12,163","2,147","2,529",855,"1,066","1,215","1,815","1,576",960
South Africa,"4,155",734,864,292,364,415,620,538,328
Others,"8,008",1.413,"1,665",563,702,800,"1,195","1,038",632
MIDDLE EAST,"88,991","16,312","20,538","5,400","6,325","11,786","11,403","13,171","4,056"
Saudi Arabia,"30,875","5,810","7,635","1,660","1,826","4,814","3,486","4,980",664
U. A. E,"9,895","1,747","2,057",695,867,989,"1,477","1,282",781
Israel,"8,058","1,516","1,993",433,477,"1,256",910,"1,300",173
Kuwait,"8,170","1,442","1,699",574,716,816,"1,219","1,059",645
Oman,"12,756","2,401","3,155",686,754,"1,989","1,440","2,057",274
Others,"19,237","3,396","3,999","1,352","1,685","1,922","2,871","2,493","1,519"
EAST ASIA,"280,511","59,090","52,600","20,250","22,425","25,406","35,212","40,083","25,445"
China,"128,166","27,022","23,844","8,197","12,668","11,687","13,648","20,119","10,981"
Indonesia,"29,558","5,218","6,143","2,078","2,590","2,954","4,411","3,830","2,334"
Japan,"39,136","9,208","5,524","5,065","1,842","2,763","5,986","3,683","5,065"
Malaysia,"23,178","4,090","2,136","1,363",600,"2,727","4,090","5,445","2,727"
Philippines,"11,160","1,970","2,321",784,978,"1,115","1,665","1,446",881
Singapore,"15,762","5,660","5,658",404,808,808,404,"1,212",808
Thailand,"9,260","1,635","1,925",651,811,925,"1,382","1,200",731
South Korea,"13,412","2,367","2,788",943,"1,175","1,340","2,002","1,738","1,059"
Others,"10,879","1,920","2,261",765,953,"1,087","1,624","1,410",859
SOUTH ASIA,"370,299","93,444","67,563","19,507","27,601","36,519","60,226","38,248","27,191"
India,"242,734","70,921","41,048","10,541","16,426","23,771","41,546","21,361","17,120"
Maldives,"86,359","15,247","17,950","6,070","7,566","8,630","12,531","11,547","6,818"
Pakistan,"25,424","4,489","5,285","1,787","2,227","2,541","3,794","3,294","2,007"
Bangladesh,"10,754","1,898","2,235",756,942,"1,075","1,605","1,394",849
Others,"5,028",889,"1,045",353,440,502,750,652,397
AUSTRALASIA,"65,252","9,831","13,129","5,212","4,519","7,016","11,712","6,628","7,205"
Australia,"57,940","8,740","11,549","4,738","4,005","6,212","10,412","5,874","6,410"
New Zealand,"6,880","1,014","1,490",444,476,761,"107,3381,236",698,761
Others,432,77,90,30,38,43,64,56,34
Total,"1,527,153","269,616","317,444","107,338","133,793","152,613","227,903","197,881","120,565"
