0,1,2,3,4,5
Country of Residence,2010,2011,2012,2013,2014
LATIN AMERICA &,,,,,
THE CARIBBEAN,620,"1,036","1,626","3,166","4,124"
Argentina,133,148,387,400,509
Bolivia,76,23,229,23,26
Brazil,217,362,476,803,"1,071"
French Guyana,86,8,33,"1,226",-
Others,108,495,501,714,"2,518"
WESTERN EUROPE-OTHERS,"4,464","4,533","5,387","12,252","15,439"
Greece,"1,599","1,240","1,415","4,010","5,002"
Ireland,"1,758","1,452","1,951","4,512","5,163"
Portugal,850,"1,032","1,284","2,097","2,620"
Others,257,809,737,"1,633","2,654"
EASTERN EUROPE-OTHERS,"16,536","17,897","21,651","35,853","54,553"
Bulgaria,703,375,789,754,193
Czech. Republic,"4,204","5,548","5,877","8,881","11,736"
Hungary,836,911,"1,418","1,653","2,697"
Poland,"6,613","5,817","5,806","9,688","13,370"
Romania,710,726,"1,029","1,687","2,331"
Slovakia,"1,716","1,314","2,040","1,731","2,411"
Lithuania,636,673,"1,078","1,405","1,858"
Turkey,563,664,"1,460","2,399","2,500"
Kazakhstan,110,160,996,"2,362","3,750"
Others,445,"1,709","1,158","5,293","13,707"
AFRICA-OTHERS,893,"1,652","1,997","4,715","8,008"
Algeria,71,64,114,129,36
Kenya,297,394,645,507,665
Mauritius,179,160,284,288,347
Nigeria,212,378,684,550,487
Zambia,63,67,87,42,3
Others,71,589,183,"3,199","6,470"
MIDDLE EAST,"37,540","57,501","56,169","80,509","88,991"
Bahrain,"1,459","1,819","2,016","2,743","2,699"
Iran,"1,900","2,223","1,815","2,058","2,809"
Israel,"3,919","6,164","7,212","8,545","8,058"
Jordan,"1,708","1,478","1,852","2,976","2,998"
Kuwait,"2,303","2,812","3,245","7,427","8,170"
Lebanon,"1,816","1,960","2,116","3,371","3,714"
Oman,"1,359","2,177","2,602","7,634","12,756"
Saudi Arabia,"9,301","15,081","19,423","23,753","30,875"
Qatar,"1,574","2,788","2,271","1,073","1,400"
UAE,"9,825","17,664","11,083","8,471","9,895"
Egypt,849,767,800,"1,806","2,179"
Others,"1,527","2,568","1,734","10,652","3,438"
ASIA-OTHERS,"2,221","4,862","5,172","5,815","7,395"
Myanmar,262,914,"1,108","2,848","2,644"
Vietnam,440,735,906,"1,163","1,432"
Afganistan,176,363,649,559,699
Bhutan,530,824,831,266,425
Others,813,"2,026","1,678",979,"2,195"
Total,"62,274","87,481","92,002","142,310","178,510"
