0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Tourist Arrivals by Country of Residence & Carrier - 2014,,,,,,,,,,,,,,
Country of,Jet,Malaysian,Air,Air India,British,China,Korean,Kuwait,Island,Oman Air,Royal,Saudia,Thai,Turkish,Rotana,Charter,Sea
Residence,Airways,Airlines,India,Express,Airways,Eastern,Airlines,Airways,Aviation,,Jordanian,,Airways,Airline,Jet,,
,,,,,,,Eastern,,,,,,,,,,
NORTH AMERICA,"1,986","1,081",941,69,252,159,519,755,-,294,57,473,999,934,67,175,263
Canada,878,405,485,47,85,67,98,277,,115,9,232,228,159,24,15,27
U.S.A.,"1,108",676,456,22,167,92,421,478,- - -,179,48,241,771,775,43,160,236
LATIN AMERICA & CARRIBEAN,160,92,69,3,47,14,28,39,,36,2,31,126,126,4,1,55
WESTERN EUROPE,"6,151","2,197","1,632",281,"3,894",463,716,"4,570",11,"18,049",300,"8,805","1,753","13,590",94,550,"8,931"
Austria,52,45,27,,22,4,16,11,,459,29,32,47,328,,13,47
Belgium,158,43,24,,36,16,12,13,,50,,187,59,874,4 1,,31
Denmark,95,64,31,9 2 2 6,35,,13,15,,35,7 7 -,20,38,699,10,3 4 3,89
Finland,33,22,10,,16,8 3,7,6,,10,,3,17,819,-,,12
France,"1,249",336,392,49,169,117,150,"1,930",,"2,175",88,"7,107",213,"2,177",12,37,558
Netherlands,379,164,59,16,146,55,64,104,,208,27,76,47,482,,28,257
Italy,165,85,49,,77,40,47,484,,898,43,285,60,742,,32,213
Norway,77,62,39,9 4,26,16,18,22,,40,,21,64,529,,5,72
Spain,200,59,53,13,194,35,55,39,,56,,340,33,"1,137",3 6 - 1 - 3,18,32
Sweden,140,81,48,13,43,20,43,26,,79,- 3 3 8,16,84,"1,163",,,25
Switzerland,170,92,65,30,34,3,19,96,- - - - 1 1 - - - - 1 8 - - - - - - - -,"1,663",,30,105,250,,9 9,40
U.K,"2,718",757,590,86,"2,843",68,150,"1,126",,"4,721",22,479,675,"2,851",32,92,"5,053"
Germany,534,283,213,36,119,64,111,635,,"7,522",60,156,260,924,16,281,579
Others,181,104,32,6,134,14,11,63,,133,3,53,51,615,,16,"1,923"
EASTERN EUROPE,486,224,275,95,240,361,570,201,,474,51,196,192,"8,253",6 1,"3,706","5,747"
Russia,176,90,143,52,82,152,407,47,,79,,21,102,"1,231",,269,"2,513"
Ukraine,56,19,23,12,17,26,24,12,,28,9 4,2,16,500,1 4 2 5,10,"1,004"
Others,254,115,109,31,141,183,139,142,,367,38,173,74,"6,522",,"3,427","2,230"
AFRICA,400,84,76,15,23,4,13,52,,78,7,204,51,152,18,56,470
MIDDLE EAST,403,294,115,33,103,63,129,"3,041",,"7,336","1,486","9,867",204,"2,924",161,73,460
ASIA,"22,646","12,553","12,558","2,696",825,"6,523","10,345",725,232,928,179,"2,543","12,586",269,269,"1,095","10,582"
China,887,"4,291",268,18,206,"5,493",738,36,,34,2,58,"4,968",46,,553,871
Indonesia,10,278,16,-,19,13,5,116,,89,149,"1,708",78,5,,7,458
Japan,256,982,196,25,16,206,"3,150",16,,22,,10,"2,468",39,6 2 - 5,112,112
Malaysia,35,"3,927",48,,72,4,14,8,,29,,143,56,11,,63,173
Philippines,46,676,3,,3,14,13,47,,35,,54,430,16,29,11,"2,117"
Singapore,66,151,31,9 2 7 - -,11,,,,3 - - - 2 - - 1 - 1,,,,57,,,14,138
Thailand,19,26,3,,2,4 2,9 - 9,4 - 4,,9 4 9,,3 9 3,"1,708",3 2 4,,11,26
Taiwan,16,245,11,,30,26,,,,,,,134,,- - - -,5,131
South Korea,77,361,172,63,23,30,"5,975",27,,13,,18,680,15,,13,845
India,"20,431",440,"11,634","2,546",43,36,40,306,,486,3 1 5 1 - 3 1 7 2 1 4 8 7 1 -,147,366,75,177,266,"4,277"
Maldives,40,195,37,13,382,662,273,21,224,18,,254,74,19,5,15,41
Bangladesh,136,549,53,11,1,10,5,60,,34,,17,83,13,10,3,204
Others,627,432,86,2,17,23,114,80,,146,,119,"1,484",21,35,22,"1,189"
AUSTRALASIA,603,"11,872",399,63,128,27,161,119,,308,,57,"3,428",93,24,309,149
Australia,493,"10,909",337,50,100,25,58,91,1 - - - - -,262,,49,"3,243",80,19,290,100
New Zealand,107,903,58,12,28,,58,28,,45,,,178,13,,19,28
Others,3,60,4,1,-,2 -,45,-,,1,,8 -,7,-,5 -,-,21
Total,"32,835","28,397","16,065","3,255","5,512","7,614","12,481","9,502",243,"27,503","2,090","22,176","19,339","26,341",648,"5,965","26,657"
