0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,Table 21
,,,,,,,Tourism Growth Trends - 1970 to 2014,,,,,,,,,
Year,Tourist,Excur-,Tourist,,Official Tourist Receipts,,,Receipt,Average,,Accommodation,Annual,,Sri Lanka Nationals,,Employment
,Arrivals,sionist,Nights,,,,,per,Duration,,Capacity (Graded),Room,,,,
,,Arrivals,‘000,,,,,Tourist,(Nights),,(Classified & Unclassified),Occupancy,,,,
,,,,,,,,per day,,,,Rate,,,,
,,,,,,Euro,,,,,,,,,,Indirect
,,,,Rs. mn,US$ mn,,SDR mn,,,Rooms,Beds,,Arrivals,Departures,Direct,
,,,,,,,,(in US $),,,,(Tourist Hotels),,,,
,,,,,,mn,,,,,,,,,,(Estd)
1970,"46,247","68,529",489,21.5,3.6,-,3.6,7.4,10.5,"1,408","2,816",42.8,-,-,"5,138","6,940"
1971,"39,654","58,292",395,20.3,3.4,,3.4,8.6,10.5,"1,767","3,534",31.1,-,-,"6,397","8,640"
1972,"56,047","48,310",614,43.8,7.3,,6.5,11.9,10.9,"1,891","3,646",38.8,"26,624","32,971","7,040","9,500"
1973,"77,888","27,920",804,79.5,12.8,,10.4,15.9,10.3,"2,468","4,801",42.4,"35,188","42,305","7,134","10,780"
1974,"85,011","23,434",874,107.1,16.4,,13.3,18.7,10.3,"2,905","5,699",39.7,"37,868","44,825","8,551","11,550"
1975,"103,204","25,490","1,015",157.1,22.4,,18.6,22.0,9.8,"3,632","7,142",36.8,"46,999","53,848","10,148","13,700"
1976,"118,971","14,499","1,194",237.8,28.2,,24.5,23.8,10.0,"4,581","8,913",37.7,"46,425","53,305","11,752","15,900"
1977,"153,665","7,672","1,645",363.1,40.0,,34.8,24.3,10.7,"4,851","9,447",42.0,"58,992","66,900","13,716","18,520"
1978,"192,592","8,494","2,061",870.0,55.8,,44.4,27.1,10.8,"5,347","10,431",47.7,"102,142","117,075","15,404","20,795"
1979,"250,164","5,565","2,777","1,209.4",77.7,,60.1,28.0,11.1,"5,599","11,212",52.8,"100,603","122,197","18,472","24,937"
1980,"321,780","8,636","3,548","1,830.3",110.7,,85.1,31.2,11.0,"6,042","11,790",57.8,"105,484","137,797","19,878","28,022"
1981,370742,"7,737","3,907","2,546.5",132.4,,112.3,33.9,10.5,"6,891","13,773",54.5,"142,426","185,035","23,023","32,232"
1982,"407,230","6,632","4,048","3,050.4",146.6,,129.8,36.2,10.0,"7,539","15,001",47.8,"162,034","216,466","26,776","37,486"
1983,"337,530","7,208","3,179","2,896.1",125.8,,115.1,39.6,9.6,"8,852","17,605",35.9,"180,729","244,955","22,374","31,234"
1984,"317,734","8,638","2,818","2,669.5",104.9,,102.4,37.2,8.9,"9,627","18,970",35.6,"212,365","274,418","24,541","34,357"
1985,"257,456","9,882","2,365","2,233.3",82.2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - -,80.8,34.8,9.2,"9,826","19,352",32.7,"220,094","239,272","22,723","31,810"
1986,"230,106","6,266","2,513","2,300.1",82.1,,69.9,32.7,10.9,"9,794","19,301",32.9,"220,614","229,386","22,285","31,199"
1987,"182,620","2,417","2,414","2,415.2",82.0,,63.4,34.0,13.2,"9,921","19,322",31.5,"217,127","257,760","20,338","28,473"
1988,"182,662","6,108","2,305","2,438.3",76.6,,57.0,33.3,12.6,"9,977","19,432",32.1,"245,065","298,583","19,960","27,944"
1989,"184,732","4,064","1,970","2,739.7",76.0,,59.3,38.6,10.7,"9,459","18,464",31.0,"258,950","285,510","21,958","30,741"
1990,"297,888","3,954","3,225","5,303.3",132.0,,97.5,41.1,10.8,"9,556","18,669",47.2,"306,367","296,884","24,964","34,950"
1991,"317,703","2,665","3,633","6,485.8",156.8,,114.6,42.8,11.4,"9,679","18,947",48.4,"237,424","310,373","26,878","37,629"
1992,"393,669","5,651","4,055","8,825.6",201.4,,142.9,49.7,10.3,"10,214","19,907",55.3,"339,109","420,749","28,790",
1993,"392,250","6,093","4,148","10,036.8",208.0,,149.0,50.1,10.6,"10,365","20,242",57.0,"375,740","416,246","30,710",
1994,"407,511","8,413","4,251","11,401.6",230.7,,161.1,54.2,10.4,"10,742","20,929",56.6,"422,367","448,437","33,956",
1995,"403,101","10,556","4,024","11,551.6",225.4,,148.6,56.1,10.0,"11,255","21,680",52.6,"459,441","504,420","35,068",
1996,"302,265","12,863","2,947","9,559.1",173.0,,119.1,57.9,9.8,"11,600","22,040",40.3,"488,055","494,258","31,963",
1997,"366,165","18,265","3,680","12,980.3",216.7,,160.4,58.6,10.1,"12,370","22,944",49.1,"482,850","530,712","34,006",
1998,"381,063","27,629","3,944","14,868.0",230.5,,169.9,59.5,10.4,"12,770","23,373",52.8,"481,793","518,050","34,780",
1999,"436,440","28,335","4,479","19,297.3",274.9,,201.0,61.4,10.3,"12,918","24,216",57.6,"521,073","496,963","36,560",
2000,"400,414","44,518","4,056","19,162.2",252.8,274.1,191.9,62.3,10.1,"13,311","24,953",52.3,"514,448","524,212","37,943",- - - - - - - - - - - - - - - -
2001,"336,794","60,084","3,342","18,863.3",211.1,236.1,165.7,63.1,9.9,"13,626","25,595",42.1,"487,356","505,341","33,710",
2002,"393,171","63,560","3,989","24,202.0",253.0,267.7,179.3,63.4,10.1,"13,818","25,956",43.1,"493,947","533,565","38,821",
2003,"500,642","82,066","5,093","32,810.0",340.0,300.5,242.6,66.8,10.2,"14,137","26,511",53.2,"560,602","591,126","46,761",
2004,"566,202","110,000","5,742","42,666.3",416.8,334.3,298.6,72.2,10.1,"14,322","26,854",59.3,"646,990","680,248","53,766",
2005,"549,308","119,618","4,754","36,377.3",362.3,289.8,244.6,74.6,8.7,"13,162","24,740",45.4,"683,169","727,301","52,085",
2006,"559,603","128,719","5,793","42,585.5",410.3,326.1,278.3,83.4,10.4,"14,218","27,117",47.8,"734,421","756,735","55,649",
2007,"494,008","98,432","4,940","42,519.3",384.4,280.5,250.9,79.1,10.0,"14,604","27,500",46.2,"817,524","862,011","60,516",
2008,"438,475","87,695","4,166","37,094.0",319.5,217.2,202.1,76.7,9.5,"14,793","28,698",43.9,"900,815","966,337","51,306","71,828"
2009,"447,890","89,526","4,075","40,133.0",349.3,250.5,226.5,81.8,9.1,"14,461","28,344",48.4,"914,584","962,786","52,071","72,899"
2010,"654,476","112,497","6,548","65,018.0",575.9,433.2,376.9,88.0,10.0,"14,714","28,978",70.1,"1,081,417","1,122,212","55,023","77,032"
2011,"855,975","119,875","8,560","91,926.0",838.9,603.4,530.2,98.0,10.0,"14,653","28,844",77.1,"1,210,951","1,239,290","57,786","80,899"
2012,"1,005,605","126,523","10,056","132,427.0","1,038.3",807.5,677.7,103.0,10.0,"15,510","30,399",71.2,"1,210,914","1,268,792","67,862","95,007"
2013,"1,274,593","140,009","10,909","221,147.1","1,715.5","1,291.4","1,128.8",156.5,8.6,"16,223","32,284",71.7,"1,200,788","1,261,711","112,550","157,600"
2014,"1,527,153","138,097*","15,119*","317,501.7","2,431.1","1,830.0","1,600.3",160.8,9.9,"18,078","35,976*",74.3,"1,263,494","1,311,063","129,790*","170,100*"
,* Provisional,,,,,,,,,,,,,,,
