0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Monthly Occupancy Rates in Tourist Hotels by Region - 2014,,,,,,,,,,,,,,
Resort Region,No. of,,,,,,,,,,,,,,Annual
,Units,Rooms,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,O/R
Colombo City,27,"3,633",76.7,72.2,73.8,66.7,71.8,66.6,78.6,85.1,71.7,82.6,77.8,86.9,75.9
Greater Colombo,58,"2,883",79.4,75.0,74.3,66.8,63.3,65.8,77.4,77.8,72.7,77.3,75.8,82.0,74.0
I.North of Colombo,47,"2,356",84.5,75.3,74.7,67.9,58.7,66.1,78.0,78.3,73.6,76.8,74.8,82.6,74.4
II.South of Colombo,11,527,74.3,74.7,73.9,65.6,67.8,65.4,76.7,77.3,71.8,77.8,76.8,81.4,73.6
South Coast,123,"6,718",81.15,79.7,73.2,69.7,57.4,64.5,77.9,73.8,76.9,75.1,71.9,82.1,73.6
I.Upto Galle,76,"5,093",79.9,79.5,72.1,68.7,63.0,62.2,77.2,75.1,76.5,77.6,76.0,81.6,74.1
II. Beyond Galle,47,"1,625",82.4,79.9,74.3,70.6,51.7,66.7,78.6,72.4,77.2,72.5,67.8,82.6,73.1
East Coast,20,842,75.9,79.7,75.7,69.8,59.4,69.1,76.3,79.8,76.3,77.3,66.5,79.6,73.8
High Country,25,788,73.8,76.9,75.4,74.5,64.6,73.1,75.8,74.7,77.6,77.8,69.7,84.7,74.9
Ancient Cities,77,"3,595",79.0,78.1,74.3,72.7,58.8,67.7,77.0,80.9,75.9,75.6,77.0,82.9,75.0
I.Kandy Area,33,"1,485",79.6,79.9,78.3,69.4,60.1,65.8,76.2,86.2,78.3,74.8,78.7,85.8,76.1
II. Anuradhapura Area,15,418,80.1,81.8,75.4,71.6,59.9,68.9,74.6,81.7,76.0,72.9,75.0,83.8,75.1
III. Polonnaruwa / Giritale,10,487,79.8,80.4,74.8,74.5,59.2,65.3,77.4,77.4,76.7,75.4,74.3,82.7,74.8
IV. Habarana / Sig. / Damb.,19,1205,76.4,70.4,68.5,75.1,56.1,70.6,79.9,78.4,72.7,79.1,79.9,79.4,73.9
Northern Region,4,51,75.1,72.2,69.2,67.2,63.9,74.3,73.9,72.5,70.8,76.4,73.8,79.5,72.4
All Regions,334,"18,510",77.3,76.9,73.8,70.1,61.3,67.8,76.9,78.2,74.9,76.7,74.3,82.6,74.3
