0,1
"Top primary  markets, September 2023",
India,
,Spain
"Arrivals : 30,063 | % Share: 26.8",
,"Arrivals: 2,414 |  % Share : 2.1"
China,United States
"Arrivals: 8,445  | % Share: 7.5","Arrivals: 2,357 | % Share : 2.1"
