0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, September 2023",,,,,
,,,Tourist Arrivals (September 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,,,,,(September
,Residence,,,,
,,By Air,By Sea,Total,
,,,,,2022)
,India,"27,816","2,247","30,063","6,493"
1,,,,,
2,China,"8,445",0,"8,445",637
3,United Kingdom,"7,501",3,"7,504","2,872"
4,Germany,"7,231",0,"7,231","2,149"
5,Russian Federation,"7,163",0,"7,163","1,553"
6,Australia,"5,968",1,"5,969","2,309"
7,Israel,"4,162",0,"4,162",826
8,Netherlands,"3,177",0,"3,177",473
9,France,"2,661",0,"2,661","1,201"
10,Canada,"2,426",0,2426,"1,552"
