0,1,2,3
"able 3. Top ten markets to Sri Lanka, January to June 2025",,,
,,Tourist Arrivals,Tourist Arrivals
Rank,Country of Residence,,
,,(Jan ~ June .2025),Jan ~ June. 2024)
1,India,"241,994","184,468"
2,Russian Federation,"112,312","114,104"
3,United Kingdom,"107,902","89,352"
4,Germany,"74,576","70,070"
5,China,"65,787","68,764"
6,France,"61,457","49,340"
7,Australia,"51,325","40,746"
8,United States,"34,413","32,717"
9,Bangladesh,"33,137","15,632"
10,Netherlands,"26,139","19,466"
11,Others,"359,002","325,590"
Total,,"1,168,044","1,010,249"
