0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
COUNTRY,TOTAL,"SRILANKAN 
AIRLINES",EMIRARES,"QATAR  
AIRLINES","JET
AIRWAYS",SPICE JET,"ETIHAD 
AIRWAYS","CATHEY 
PACIFIC",FLY DUBAI,"CHINA 
EASTERN 
AIR LINES",AIR ASIA,AIR CHINA,OMAN AIR,AIR ARABIA,"INDIAN AIR 
LINES"
NORTH AMERICA,"98,376","27,481","22,384","15,636","5,400","1,148","5,445","4,625","1,898","1,629","2,537",330,871,334,-
Canada,"44,122","141,66","10,750","6,572","2,781",402,"1,848","1,537",627,830,888,104,279,140,-
USA,"54,254","133,15","11,634","9,064","2,619",746,"3,597","3,088","1,271",799,"1,649",226,592,194,-
LATIN AMERICA & THE CARIBBEAN,"5,602","12,54","1,016",485,188,201,218,123,237,27,354,6,110,25,-
WESTERN EUROPE,"643,333","156,744","199,532","109,216","14,300","2,813","42,923","3,458","7,287","1,074","8,426",319,"27,956","1,145",5
Austria,"16,995",928,"6,485","4,592",69,54,"1,368",20,309,26,136,7,955,17,-
Belgium,"14,387","2,240","3,647","5,019",975,34,"1,118",49,79,23,160,16,107,37,-
Denmark,"18,097","3,122","6,092","5,161",130,83,997,18,146,40,303,7,228,19,-
France,"96,440","17,663","28,781","24,363","4,917",323,"5,263",428,883,234,"1,358",45,"3,222",126,-
Netherlands,"41,373","3,378","21,230","6,731","1,016",135,"2,969",134,267,63,659,8,311,41,-
Italy,"29,791","3,696","13,049","5,030",245,132,"2,224",99,238,82,294,7,"2,032",44,-
Norway,"12,790","2,341","3,254","5,910",114,63,142,6,50,20,213,4,140,10,-
Spain,"19,425","9,204","4,441","3,197",191,180,504,25,264,46,249,15,159,39,-
Sweden,"21,589",34,"4,784","11,477",294,131,"1,060",59,207,68,583,73,451,35,-
Switzerland,"26,282","4,812","9,027","4,999",194,99,"2,382",81,103,27,237,8,"3,458",26,-
UK,"188,159","73,741","48,186","5,209","4,777",909,"6,316","2,124","3,003",222,"2,422",53,"4,435",328,5
Germany,"133,275","30,556","43,098","23,532",821,450,"16,826",278,606,162,"1,255",76,"12,044",298,-
Others,"24,730","5,029","7,458","3,996",557,220,"1,754",137,"1,132",61,557,-,414,125,-
EASTERN EUROPE,"161,171","17,576","33,266","13,667",682,961,"8,528",217,"34,074",593,"1,571",63,"1,427","31,255",-
Russia,"58,176","2,020","15,731","5,452",222,508,"4,116",145,"8,126",215,683,34,236,"14,962",-
Ukraine,"31,302",590,"1,527",643,107,131,376,2,"11,102",37,196,4,95,"12,745",-
Czech Republic,"17,858","1,957","4,115",487,50,38,947,12,"7,746",111,147,-,307,17,-
Poland,"14,432","4,251","3,758","2,831",73,88,797,18,875,76,229,7,212,42,-
Others,"39,403","8,758","8,135","4,254",230,196,"2,292",40,"6,225",154,316,18,577,"3,489",-
