0,1,2,3,4,5
Source of Revenue,2012,2013,2014,2015,2016
Tourism Development Levy,809.4,"1,014.2","1,005.6","1,014.8","1,276.8"
Tourism Development Authority  Income,130.3,136.4,149.3,126.1,168.7
Embarkation Tax on Foreign Tourists,"1,161.7","1,604.8","1,779.8","1,968.5","2,355.4"
Cultural Triangle,"1,330.7","1,727.1","2,178.5",2495.5,"3,363.3"
Botanical Gardens,279.0,314.9,369.8,435.1,594.3
Zoological Gardens,480.7,550.9,745.8,813.9,841.1
Wild Life  Parks,424.8,578.4,831.6,"1,011.6","1,445.9"
Museums,16.8,14.9,15.8,27.5,33.6
BMICH,239.2,233.7,400.2,389.7,551.4
Total,"4,872.6","6,175.3","7,476.4","8,282.7","10,630.5"
