0,1,2,3,4,5,6,7
"Share of Total Sea(cid:2)ng Capacity
60.00
50.00
40.00
30.00
20.00
10.00
0.00",,,,,,,
,,,,,,,
,,,,Air Line,Winter,Sum m er,
,,,,,,,
,,,,Srilankan Airlines,47.20,47.90,
,,,,"Emirates
Mihin Air","9.10
6.80","9.60
7.20",
,,,Winter,Qutar Airways,5.70,4.20,
,,,Summer,"Malaysian Airlines
Cathay Pacific","1.20
1.70","1.30
1.80",
,,,,"Singapore Air
Saudi Arabian A/l","2.10
1.20","2.20
1.30",
,,,,"Air Arabia
Air India Express
Others","1.40
0.90
22.70","1.40
1.00
22.10",
Air Lines,,,,,,,
