0,1,2,3,4
"1-3 nights
4-7 nights
8-14 nights
15-21 nights
22-30 nights",,,,
,Period,2015,2016,
,1-3 nights,11.4%,10.4%,
,4-7 nights,31.9%,29.6%,
,8-14 nights,27.1%,40.7%,
,15-21 nights,14.3%,11.7%,
,22-30 nights,11.6%,3.8%,
,31 nights & Over,3.8%,3.8%,
31 nights & Over,,,,
