0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Class
of
Accommodation","No.
of
Units",,"No.
of
Rooms",,"No.
of
Beds",,"Total
Guest
Nights*",,"Foreign
Guest
Nights*",,"Local
Guest
Nights*",,"Room
Occupancy
Rate*",
,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,,,,,,,
(A) Hotel **,354,382,"19,376","22,336","38,370","46,414","10,533,603","12,322,410","8,945,380","10,595,118","1,588,223","1,727,292",74.5,74.76
5 Star,13,17,"2,744","3,550","5,454","7,377","1,912,403","2,300,803","1,711,230","2,069,510","201,173","231,293",74.9,74.81
4 Star,18,18,"2,084","2,185","4,064","4,540","1,514,224","1,566,801","1,324,038","1,388,625","190,186","178,176",75.1,75.37
3 Star,15,16,"1,469","1,798","2,966","3,736","1,015,386","1,192,831","920,063","1,093,618","95,323","99,213",74.3,75.33
2 Star,33,33,"1,725","1,902","3,381","3,952","1,088,869","1,203,261","982,486","1,079,872","106,383","123,389",73.6,74.27
1 Star,34,34,"1,330","1,329","2,606","2,762","961,736","1,027,702","829,016","876,229","132,720","151,473",73.2,73.84
,,,,,,,,,,,,,,
"Small Luxury
Hotel(Boutique 
Hotel)",24,24,432,448,907,931,"225,457","212,016","176,871","194,592","48,586","17,424",75.1,74.35
,,,,,,,,,,,,,,
Unclassifi ed,217,240,"9,592","11,124","18,992","23,116","3,815,528","4,818,996","3,001,676","3,892,672","813,852","926,324",75.3,75.37
,,,,,,,,,,,,,,
(B) Supplementary,,,,,,,,,,,,,,
Establishments**,"1,409","1,558","10,702","11,535","20,211","23,970","4,985,957","6,220,899","4,349,313","5,404,602","636,644","816,297",73.0**,74.89
