0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Central Europe,"15,222","7,596",633,15,524,71,305,67,91,188,"11,837","1,607","11,790",677,612,394,71,"6,499",179,"1,228","12,221",27,7,0,185,"4,927",103,"1,969",222,"18,813","2,655"
BELARUS,509,169,14,0,17,3,2,4,3,0,137,121,202,31,14,1,2,269,3,74,162,0,2,0,2,142,0,27,2,692,32
CZECH REPUBLIC,98,900,44,1,26,0,33,2,4,38,"1,907",33,439,2,20,27,1,215,4,48,"2,970",0,2,0,9,556,4,90,0,108,19
ESTONIA,417,2,14,0,4,1,1,1,5,2,23,26,7,0,5,4,0,200,4,0,290,0,0,0,3,58,3,92,0,13,8
HUNGARY,16,14,23,0,8,0,10,0,2,15,410,18,19,0,18,7,3,77,4,5,574,0,0,0,5,180,1,27,0,56,95
KAZAKHSTAN,35,162,21,0,17,1,4,0,0,1,85,39,151,0,19,0,0,0,0,3,23,0,0,0,5,183,3,3,0,"1,511",66
LITHUANIA,272,8,6,1,9,1,4,0,1,0,54,16,17,1,10,7,5,109,2,14,105,0,0,0,2,131,4,242,0,15,17
POLAND,438,40,44,13,55,3,27,3,57,95,937,38,569,5,57,64,22,"5,384",8,100,"2,325",3,0,0,25,910,6,127,0,126,427
ROMANIA,8,11,18,0,28,2,7,0,0,9,298,33,159,9,8,18,7,1,0,14,602,0,1,0,2,241,4,124,0,0,150
"RUSSIAN 
FEDERATION","12,987","2,118",337,0,264,50,173,46,0,5,"7,065",986,"3,183",602,348,217,11,64,137,919,"2,886",20,1,0,101,"1,639",73,87,1,"14,119",940
"SLOVAKIA(SLOVAK 
REPUBLIC)",51,123,14,0,16,0,6,0,0,15,395,11,170,0,11,6,1,71,0,7,393,0,0,0,3,144,0,14,0,37,25
UKRAINE,130,"3,820",77,0,46,8,32,2,20,3,338,230,"6,336",16,66,34,10,78,11,29,"1,464",1,0,0,19,450,2,969,219,"2,017",733
Others,262,230,20,0,34,2,6,10,0,5,187,57,536,10,35,8,8,32,5,15,425,2,1,0,10,293,3,165,0,151,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Europe,525,84,270,3,842,25,89,17,7,145,"3,691",451,309,65,538,117,375,73,61,428,"6,258",43,29,0,225,"3,592",144,905,0,907,"3,238"
GREECE,6,3,3,0,24,0,15,6,0,30,200,45,9,18,21,9,0,9,12,12,641,15,3,0,15,274,6,18,0,0,481
ISRAEL,313,6,27,0,519,10,4,7,3,4,13,2,2,0,247,8,2,31,2,0,787,0,3,0,111,544,93,229,0,454,134
ITALY,88,24,108,0,176,2,29,1,0,82,"1,668",200,91,8,117,20,340,11,22,335,"1,952",18,14,0,35,"1,380",25,99,0,291,"1,468"
PORTUGAL,37,3,28,0,28,1,5,0,1,8,597,37,23,3,33,2,6,7,1,8,192,1,2,0,12,227,1,38,0,77,225
SPAIN,63,7,70,1,72,3,19,0,1,10,702,83,40,2,85,42,17,3,11,38,"1,127",4,6,0,44,602,10,38,0,155,130
TURKEY,4,17,14,0,3,6,9,0,1,1,130,16,67,26,17,4,1,0,6,19,316,4,0,0,4,222,6,322,0,301,604
Others,14,24,20,2,20,2,8,2,0,9,381,69,77,8,19,31,8,12,7,17,"1,244",0,1,0,5,344,4,161,0,0,196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,3,398,34,2,36,1,28,1,0,2,"1,381",253,469,220,29,17,"1,088",0,8,975,406,997,8,6,19,"3,206",14,16,0,525,92
BAHRAIN,0,6,1,0,1,0,0,0,0,0,18,1,21,88,2,1,1,0,0,6,3,1,0,0,0,377,0,2,0,15,6
EGYPT,1,15,10,0,5,0,13,1,0,0,182,116,50,12,0,6,110,0,0,146,27,15,0,0,1,209,0,2,0,0,34
IRAQ,0,5,2,0,0,0,0,0,0,0,27,4,21,0,1,1,3,0,0,2,48,0,0,0,0,24,0,0,0,0,1
JORDAN,0,26,1,0,0,0,2,0,0,0,137,11,33,1,9,2,179,0,1,15,82,8,0,0,0,112,0,0,0,3,6
KUWAIT,0,2,1,0,1,0,1,0,0,0,34,0,1,0,1,0,408,0,2,5,23,0,0,0,0,333,4,0,0,7,3
LEBANON,0,7,5,0,1,0,1,0,0,0,156,8,29,2,3,0,81,0,0,7,79,5,3,1,0,90,1,0,0,2,3
OMAN,0,9,1,0,4,1,0,0,0,2,45,0,7,1,1,1,5,0,1,439,13,4,2,0,3,116,0,0,0,388,4
QATAR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,65,0,0,0,2,39,0,0,0,16,1
SAUDI ARABIA,1,279,10,2,17,0,9,0,0,0,535,72,268,110,7,5,270,0,3,326,27,936,4,5,13,"1,733",6,5,0,102,10
"UNITED ARAB 
EMIRATES",0,33,0,0,1,0,0,0,0,0,183,35,26,1,0,0,1,0,0,4,0,0,0,0,0,61,3,0,0,3,2
Others,1,6,4,0,5,0,2,0,0,0,65,6,13,6,4,0,30,0,0,21,40,28,0,0,1,111,1,8,0,0,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"17,943 8,880 8,151 3,004 16,029 4,316 5,944",,,,,,770,,"987 3,934 62,845 11,653 14,215 2,045 21,968 3,687 3,652 7,922 4,098 8,110 59,882 1,342 2,631",,,,,,,,,,,,,,,"14 8,033 148,251 2,805 4,520",,,,,"222 41,680 28,141",
