0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,2007,2008,2009,2010,2011,2012,2013,2014,"2015 
2016",,2017,2018,2019,"2
020"
Sex,"Male 
Female","60.2 
39.8","60.4 
39.6","59.7 
40.3","54.1 
45.9","59.2 
40.8","55.4 
44.6","62.1 
37.9","55.3 
44.7","53.6 
46.4","45.3 
54.7","54.9 
45.1","51.9 
48.1","52.3 
47.7","4
 
51.9 
8.1"
"Age 
Group","3-19 
20-29 
30-39 
40-49 
50-59 
60 & 
Over","9.6 
17.1 
27.6 
30.3 
8.3 
6.9","10.1 
14.8 
28.7 
27.4 
11.7 
7.3","9.6 
15.3 
28.4 
28.6 
11.5 
6.6","10.3 
15 
28.1 
28.9 
12.9 
4.8","11.6 
16.9 
22.6 
26.6 
11.7 
10.6","10.6 
19.2 
25.9 
25.1 
10.2 
9","2.4 
20.6 
30.3 
21.7 
13.9 
11.1","9.5 
17.6 
23.7 
20.6 
16.2 
12.4","9.9 
17.8 
22.6 
18.9 
17 
13.9","7.9 
14.8 
22.5 
21.1 
16.6 
17.1","11.2 
17.9 
24.6 
17.5 
15.3 
13.5","11.5 
18.3 
22.3 
17.4 
15.6 
14.9","10.2     
17 
22.6 
16.8 
15.8 
17.6","8
  1
  2
  1
  1
  1
.1 
6.8 
4.5 
5.9 
5.5 
9.2"
