0,1,2,3,4,5,6,7,8
Source of Revenue,"2013 
(Rs Mn.)","2014 
(Rs 
Mn.)","2015 
(Rs 
Mn.)","2016 
(Rs 
Mn.)","2017 
(Rs Mn.)","2018 
(Rs Mn.)","2019 
(Rs Mn.)","2020 
(Rs 
Mn.)"
"Tourism Development 
Levy","1,014.2","1,005.6","1,014.8","1,276.8","1,541.5","1,482.1",924.2,"5
40.90"
"Income of Tourism 
Development Authority",136.4,149.3,126.1,168.7,248.9,250.8,238.8,"2
31.8"
"Embarkation Tax on 
Foreign Tourists","1,604.8","1,779.8","1,968.5","2,355.4","2,378.8","2,824.9","2,089.2","4
89.50"
Culture Triangle,"1,727.1","2,178.5","2,495.5","3,363.3","3,774.4","4,199.5","3,290.7",830.60
Botanical Gardens,314.9,369.8,435.1,594.3,640,673.4,537.1,181.8
Zoological Gardens,550.9,745.8,813.9,841.1,728.9,698.8,476.9,113.7
Wildlife Parks,578.4,831.6,"1,011.6","1,445.9","1,730.7","2,138.4","1,827.7",494.90
Conservation Forests *,–,–,–,–,25.4,66.1,124.4,61.3
Museums,14.9,15.8,27.5,33.6,50.2,76,56.4,14.1
BMICH,233.7,400.2,389.7,551.4,648.8,464.8,21.4,3.2
Total,"6,175.3","7,476.4","8,282.7","10,630.5","11,767.6","12,872.6","9,586.8","2,961.80"
