0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
No,Country,January,"Februar
y",March,April,May,June,July,August,September,October,November,December,"Total (Jan - 
Dec)"
48,DOMINICA,6,3,1,0,0,0,0,0,0,0,0,0,10
49,"DOMINICAN 
REPUBLIC",3,0,1,0,0,0,0,0,0,0,0,0,4
50,ECUADOR,19,7,4,0,0,0,0,0,0,0,0,0,30
51,EGYPT,404,400,152,0,0,0,0,0,0,0,0,0,956
52,EL SALVADOR,0,4,1,0,0,0,0,0,0,0,0,0,5
53,"EQUATORIAL 
GUINEA",0,0,0,0,0,0,0,0,0,0,0,0,0
54,ERITREA,2,5,2,0,0,0,0,0,0,0,0,0,9
55,ESTONIA,394,651,140,0,0,0,0,0,0,0,0,0,"1,185"
56,ETHIOPIA,9,21,6,0,0,0,0,0,0,0,0,0,36
57,FIJI,34,49,3,0,0,0,0,0,0,0,0,0,86
58,FINLAND,986,"1,037",275,0,0,0,0,0,0,0,0,0,"2,298"
59,FRANCE,"9,352","11,430","4,056",0,0,0,0,0,0,0,0,0,"24,838"
60,"GAMBIA, THE",0,1,1,0,0,0,0,0,0,0,0,0,2
61,GABON,1,,,0,0,0,0,0,0,0,0,0,1
62,GEORGIA,102,108,26,0,0,0,0,0,0,0,0,0,236
63,GERMANY,"11,494","16,405","6,608",0,0,0,0,0,0,0,0,0,"34,507"
64,GHANA,3,5,1,0,0,0,0,0,0,0,0,0,9
65,GREECE,598,618,357,0,0,0,0,0,0,0,0,0,"1,573"
66,GRENADA,3,5,8,0,0,0,0,0,0,0,0,0,16
67,GUATEMALA,6,1,0,0,0,0,0,0,0,0,0,0,7
68,GUINEA,1,0,0,0,0,0,0,0,0,0,0,0,1
69,"GUINEA-
BISSAU",0,0,0,0,0,0,0,0,0,0,0,0,0
