0,1,2,3,4,5,6,7
Location,Year,Domestic Tourists,,Foreign Tourists,,Total,
,,Number,Revenue,Number,Revenue,Number,Revenue
Dehiwala,2019,"1,123,227","97,826,210","23,953","36,467,400","1,147,180","134,293,610"
,2020,"301,897","28,536,370","5,058","9,662,100","306,955","38,198,470"
,,,,,,,
Pinnawala,2019,"484,268","39,307,460","198,399","436,803,000","682,667","476,110,460"
,2020,"126,214","11,178,680","48,326","102,508,650","174,540","113,687,330"
,,,,,,,
"Pinnawala 
Zoo",2019,"293,658","24,462,010","3,345","2,188,250","297,003","26,650,260"
,2020,"94,277","8,686,750",704,"481,950","94,981","9,168,700"
,,,,,,,
"Ridiyagama  
Safari Park",2019,"315,224","80,833,540",954,"2,343,700","316,178","83,177,240"
,2020,"106,821","29,654,420",401,"1,066,400","107,222","30,720,820"
,,,,,,,
Total,2019,"2,216,377","242,429,220","226,651","477,802,350","2,443,028","720,231,570"
,2020,"629,209","78,056,220","54,489","113,719,100","683,698","191,775,320"
