0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Class of Accommodation,,"No of 
Establishments",,No of Rooms,,"Occupancy 
Rate *",,No of Beds*,,Total Guest Nights*,,"Foreign Guest 
Nights*",,"Local Guest 
Nights*",
"(A)  Hotel  
  
  
  
  
  
  
  
  
  
  
  
(B)","5 Star 
4 Star 
3 Star 
2 Star 
1 Star 
  
Small luxury Hotel 
(Boutique Hotel / 
Villa) 
  
Unclassified  
  
Supplementary 
Establishments","2019 
  
474 
  
25 
24 
26 
41 
38 
  
81 
  
239 
  
2,145","2020 
  
484 
  
25 
24 
26 
42 
39 
  
82 
  
246 
  
2,535","2019 
  
24,831 
  
5,354 
2,564 
2,513 
2,000 
1,662 
  
1,037 
  
9,701 
  
15,534","2020 
  
25,407 
  
5,354 
2,564 
2,513 
2,090 
1,711 
  
1,047 
  
10,128 
  
17,343","2019 
  
57.09 
  
54.37 
59.53 
59.02 
58.79 
57.73 
  
52.10 
  
58.12 
  
49.38","2020 
  
14.96 
  
13.64 
14.29 
16.49 
15.31 
16.51 
  
14.30 
  
14.20 
  
12.41","2019 
  
49,540 
  
9,503 
5,051 
5,353 
4,167 
3,634 
  
1,280 
  
20,552 
  
29,982","2020 
  
49,987 
  
9,503 
5,051 
5,353 
4,196 
3,722 
  
1,311 
  
20,851 
  
31,992","2019 
  
11,259,530 
  
2,249,792 
1,117,682 
1,160,457 
908,423 
759,479 
  
283,169 
  
4,780,528 
  
6,157,319","2020 
  
2,979,694 
  
564,628 
290,906 
290,417 
232,851 
229,360 
  
66,491 
  
1,305,041 
  
1,805,465","2019 
  
9,772,128 
  
2,034,813 
983,067 
1,051,766 
808,612 
583,287 
  
268,345 
  
4,042,238 
  
5,364,773","2020 
  
2,103,268 
  
437,955 
211,587 
226,373 
174,039 
125,542 
  
57,756 
  
870,016 
  
1,472,633","2019 
  
1,487,402 
  
214,979 
134,615 
108,691 
99,811 
176,192 
  
14,824 
  
738,290 
  
792,546","2020 
  
876,426 
  
126,673 
79,320 
64,044 
58,812 
103,818 
  
8,735 
  
435,025 
  
332,832"
