0,1,2,3,4,5,6
T,"able 2. Top ten source markets to Sri Lanka, August 2025",,,,,
,,,,Tourist arrivals (August 2025),,
,,,,,,Tourist arrivals
,Rank,Country of,,,,
,,Residence,,,,(August 2024)
,,,,By Sea,Total,
,,,By Air,,,
,1,India,"43,738","2,735","46,473","33,031"
,2,United Kingdom,"19,723",41,"19,764","17,587"
,3,Germany,"12,500",0,"12,500","10,623"
,4,China,"12,294",0,"12,294","12,088"
,5,Italy,"12,245",02,"12,247","9,586"
,6,France,"10,479",16,"10,495","8,596"
,7,Spain,"8,843",0,"8,843","7,262"
,8,Australia,"7,832",01,"7,833","6,687"
,9,Netherlands,"6,080",02,"6,082","5,355"
,10,Japan,"5,126",01,"5,127","4,102"
