0,1,2,3,4,5,6,7,8,9
,,,,,,,,Total,
,,October   2022,,,,,,,
,,,,,,,,,%
,,,,Tourist,%,,Total Tourist,Tourist,
,,,,,,,,,Change
,,Tourist Arrivals,,Arrivals,Change,,Arrivals up to,Arrivals,
,,,,,,,,,up to
,,,,Oct,Oct,,Oct,up to,
,,,,,,,,,Oct
,By Air,By Sea,Total,2021,(22/21),,2022,Oct,
,,,,,,,,,(20/21)
,,,,,,,,2021,
ASIA &,"16,429",-,"16,429","12,844",,-,"161,704","29,035",-
PACIFIC,,,,,,,,,
North East,"1,024",-,"1,024",309,,-,"7,053","2,216",-
Asia,,,,,,,,,
China,468,-,468,182,,-,"3,489","1,958",-
Japan,318,-,318,45,,-,"2,002",130,-
South,211,-,211,76,,-,"1,284",107,-
Korea,,,,,,,,,
Taiwan,24,-,24,6,,-,227,21,-
Others,3,-,3,0,,-,51,0,-
South East,"1,098",-,"1,098",660,,-,"8,650","1,349",-
Asia,,,,,,,,,
Cambodia,12,-,12,2,,-,94,3,-
Indonesia,70,-,70,473,,-,648,862,-
Malaysia,264,-,264,44,,-,"1,910",68,-
Myanmar,25,-,25,1,,-,211,21,-
Philippines,162,-,162,76,,-,"1,576",235,-
Singapore,297,-,297,31,,-,"2,618",84,-
Thailand,210,-,210,29,,-,"1,132",56,-
Vietnam,52,-,52,4,,-,424,20,-
Others,6,-,6,0,,-,37,0,-
Oceania,"2,357",-,"2,357",146,,-,"24,870",436,-
Australia,"2,106",-,"2,106",121,,-,"22,827",352,-
New,244,-,244,24,,-,"1,987",78,-
Zealand,,,,,,,,,
Others,7,-,7,1,,-,56,6,-
South Asia,"11,950",-,"11,950","11,729",,-,"121,131","25,034",-
Afghanistan,0,-,0,0,,-,21,9,-
Bangladesh,417,-,417,273,,-,"2,644",580,-
Bhutan,5,-,5,0,,-,99,2,-
India,"8,862",-,"8,862","8,406",,-,"95,487","18,466",-
Iran,190,-,190,16,,-,"3,733",110,-
Maldives,"1,943",-,"1,943",963,,-,"13,810","1,912",-
Nepal,90,-,90,29,,-,758,51,-
Pakistan,443,-,443,"2,042",,-,"4,579","3,904",-
EUROPE,"21,343",-,"21,343","8,260",,-,"347,612","26,247",-
Northern,"5,201",-,"5,201","2,797",,-,"92,322","5,669",-
Europe,,,,,,,,,
Denmark,265,-,265,159,,-,"6,415",330,-
Finland,78,-,78,32,,-,"1,264",81,-
Norway,257,-,257,212,,-,"5,243",457,-
Sweden,220,-,220,98,,-,"3,796",267,-
United,"4,275",-,"4,275","2,241",,-,"72,802","4,383",-
Kingdom,,,,,,,,,
Others,106,-,106,55,,-,"2,802",151,-
