0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,Sri Lanka,
PRICES and GOVERNMENT FINANCE,,,,,,,,,,,,,,,
,1987,1997,2006,2007,,,,,,,,,,,
,,,,,,Inflation (%),,,,,,,,,
Domestic prices,,,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,
(% change),,,,,,,,,,,,,,,
,,,,,15,,,,,,,,,,
Consumer prices,7.7,9.6,13.7,17.5,,,,,,,,,,,
Implicit GDP deflator,7.8,8.9,11.3,14.0,10,,,,,,,,,,
,,,,,5,,,,,,,,,,
Government finance,,,,,,,,,,,,,,,
"(% of GDP, includes current grants)",,,,,0,,,,,,,,,,
Current revenue,21.4,19.4,17.3,17.1,,02,,,03,,04,,05,06,07
Current budget balance,1.3,-1.4,-1.4,-0.2,,,,,,,,,,,
,,,,,,,,,,GDP deflator,,,,CPI,
Overall surplus/deficit,-8.7,-7.0,-7.0,-6.0,,,,,,,,,,,
TRADE,,,,,,,,,,,,,,,
,1987,1997,2006,2007,,,,,,,,,,,
,,,,,,Export and import levels (US$ mill.),,,,,,,,,
(US$ millions),,,,,,,,,,,,,,,
Total exports (fob),"1,397","4,639","6,883","7,740","15,000",,,,,,,,,,
Tea,362,719,882,"1,025",,,,,,,,,,,
Other agricultural goods and unclassified exp,99,394,461,..,,,,,,,,,,,
,,,,,"10,000",,,,,,,,,,
Manufactures,241,"2,274","3,088","3,342",,,,,,,,,,,
Total imports (cif),"1,866","5,852","10,253","11,301",,,,,,,,,,,
,,,,,"5,000",,,,,,,,,,
Food,..,781,757,831,,,,,,,,,,,
Fuel and energy,..,539,"2,070","2,497",,,,,,,,,,,
Capital goods,..,"1,325","2,246","2,685",0,,,,,,,,,,
,,,,,,01,,02,,03,,04,05,06,07
Export price index (2000=100),..,80,128,135,,,,,,,,,,,
Import price index (2000=100),..,81,134,140,,,,,Exports,,,,,Imports,
Terms of trade (2000=100),..,99,96,96,,,,,,,,,,,
BALANCE of PAYMENTS,,,,,,,,,,,,,,,
,1987,1997,2006,2007,,,,,,,,,,,
,,,,,,Current account balance to GDP (%),,,,,,,,,
(US$ millions),,,,,,,,,,,,,,,
Exports of goods and services,"1,725","5,514","8,508","9,451",0,,,,,,,,,,
,,,,,01,,02,,03,,04,,05,06,07
Imports of goods and services,"2,399","6,568","11,621","12,885",,,,,,,,,,,
Resource balance,-674,"-1,054","-3,113","2,687",,,,,,,,,,,
,,,,,-2,,,,,,,,,,
Net income,-142,-165,-389,..,,,,,,,,,,,
Net current transfers,493,831,"2,169","2,774",,,,,,,,,,,
,,,,,-4,,,,,,,,,,
Current account balance,-323,-388,"-1,333","-1,326",,,,,,,,,,,
Financing items (net),245,551,"1,267","1,622",,,,,,,,,,,
Changes in net reserves,78,-163,66,-296,-6,,,,,,,,,,
Memo:,,,,,,,,,,,,,,,
Reserves including gold (US$ millions),289,"2,029","2,947","3,644",,,,,,,,,,,
"Conversion rate (DEC, local/US$)",29.4,59.0,103.9,110.6,,,,,,,,,,,
EXTERNAL DEBT and RESOURCE FLOWS,,,,,,,,,,,,,,,
,1987,1997,2006,2007,,,,,,,,,,,
,,,,,,Composition of 2006 debt (US$ mill.),,,,,,,,,
(US$ millions),,,,,,,,,,,,,,,
Total debt outstanding and disbursed,"4,751","8,118","11,446",..,,,,,,,,,,,
IBRD,89,31,0,0,,,,,,,,,,,
,,,,,,,,,G: 855,,,,,,
IDA,619,"1,514","2,245","2,357",,,,,,,,,,,
,,,,,,,,,,,,,,"B: 2,245",
,,,,,,F: 850,,,,,,,,,
Total debt service,497,531,958,..,,,,,,,,,,,
IBRD,12,9,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,C: 244,
IDA,6,22,60,66,,,,,,,,,,,
Composition of net resource flows,,,,,,,,,,,,,,,
Official grants,192,113,391,..,,,,,,,,,,,
Official creditors,249,308,286,..,,,,,,,,,,,
Private creditors,-63,222,-83,..,,"E: 4,583",,,,,,,,"D: 2,669",
Foreign direct investment (net inflows),60,430,480,..,,,,,,,,,,,
Portfolio equity (net inflows),0,0,-304,..,,,,,,,,,,,
World Bank program,,,,,,,,,,,,,,,
Commitments,20,128,100,32,A - IBRD,,,,,,,,,E - Bilateral,
Disbursements,87,78,100,74,B - IDA,,,D - Other multilateral,,,,,,F - Private,
Principal repayments,5,16,43,49,C - IMF,,,,,,,,,G - Short-term,
Net flows,82,62,57,25,,,,,,,,,,,
Interest payments,13,14,17,17,,,,,,,,,,,
Net transfers,70,48,40,7,,,,,,,,,,,
