0,1,2,3,4,5,6
"Y
 
ear",,"Number of 
projects 
received",,"Number of 
rooms",,"Investment/ 
USD Mn."
"2020 
54 
1,721 
837.85 
2021 
45 
1,328 
133.734 
2022 
42 
1,054 
68.437 
2023 ( End of July 2023) 
38 
1,179 
148.326",,,,,,
