0,1,2,3,4,5
,,,Tourist Arrivals (July 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,,,,
,,By Air,By Sea,Total,( July 2022)
,India,"23,461",0,"23,461","6,031"
1,,,,,
2,United Kingdom,"17,482",0,"17,482","9,257"
3,China,"10,062",0,"10,062",266
4,Germany,"8,013",0,"8,013","3,666"
5,Russian Federation,"8,009",0,"8,009","1,918"
6,France,"7,432",0,"7,432","3,567"
7,Netherlands,"6,796",0,"6,796","2,053"
8,Maldives,"6,286",0,"6,286","1,207"
9,Canada,"5,737",0,"5,737","3,458"
10,Australia,"5,323",0,"5,323","1,974"
