0,1,2,3
,"Top ten source markets, 1st to 30th June 2023",,
,,Number of,
Rank,Country,,
,,Tourists,Share %
1,India,"26,830",27%
2,United Kingdom,"7,981",8%
3,Russian Federation,"7,968",8%
4,Australia,"6,195",6%
,China,"5,105",5%
5,,,
6,Germany,"5,090",5%
7,Canada,"4,509",4%
8,Maldives,"4,080",4%
9,United States,"3,806",4%
10,France,"2,895",3%
,O,,26%
11,ther,"25,929",
