0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, August 2022",,,,,
,,,Tourist Arrivals (August 2022),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,By Air,By Sea,Total,(August 2021)
1,United Kingdom,"6,776",-,"6,776",489
2,India,"5,340",,"5,340",405
3,Germany,"3,251",-,"3,251",515
4,France,"2,784",-,"2,784",248
5,Canada,"2,581",-,"2,581",594
6,Spain,"2,148",-,"2,148",78
7,Australia,"1,898",-,"1,898",26
8,Russian Federation,"1,426",-,"1,426",247
9,United States,"1,105",-,"1,105",311
10,Netherlands,"1,021",-,"1,021",115
