0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Country,Dubai,Doha,Chennai,Abu Dhabi,London,,Singapore,Frankfurt,Mumbai,Melbourne,DelhiIstanbul,Kuala LampurSharjah,BangaloreMuscatParis,Bahrain,Bangkok,Sydney,Others,
"United Kingdom 1,507 1,263",,,270,"437 2,487",,Male61,94,4,48,22,1374,5310,1674,6 202,19,4,112,"Total6,776"
India,103,,"22 3,041",13,13,24,18,,0 395,4,4151,1012 321,100,2,16,1,919,"5,340"
Germany,564,770,73,228,103,35,16,913,77,2,3371,152,34 18923,52,9,2,40,"3,251"
France,697,933,106,179,39,24,16,35,68,5,3762,261,1443 415,45,16,0,23,"2,784"
Canada,,"344 1,024",266,231,173,18,76,,39 168,3,297,300,501719,0,19,0,68,"2,581"
Spain,529,711,5,591,48,50,4,19,3,1,13 132,105,153,4,2,1,11,"2,148"
Australia,31,13,36,7,50,23,518,5,,5 756,62,1131,3010,1,12 286,,20,"1,898"
Russia,284,26,7,676,1,16,1,0,5,0,1346,10 304,000,23,5,0,9,"1,426"
United States,207,447,49,75,28,53,84,0,11,2,1912,133,1435,1,24,1,54,"1,105"
Netherlands,419,153,13,86,28,23,6,53,85,5,518,272,4390,6,23,0,17,"1,021"
