0,1,2
T,able 10: Number of rooms by star category - 2024,
S,Number of,Number of
tar category,,
,establishments,rooms
One,41,"1,852"
Two,40,"2,431"
Three,26,"2,462"
Four,31,"3,834"
Five,31,"6,603"
Total,169,"17,182"
