0,1,2,3,4,5
,,Number of,Average,,Total Value
,Month,,,,
,,,,Duration of,
,,Tourist,Value of,,(USD Mn) **
,,,,the Month**,
,,Arrivals,the Month,,
,,,**,,
J,anuary,"208,253",181.15**,9.06,341.789
F,ebruary,"218,350",181.15**,8.74,
,,,,,345.702
M,arch,"209,181",181.15**,8.93,338.385
A,pril,"148,867",181.15**,8.37,225.716
M,ay,"112,128",181.15**,7.58,153.965
J,une,"113,470",181.15**,,151.080
,,,,7.35,
J,uly,"187,810",181.15**,9.65,328.310
A,ugust,"164,609",181.15**,9.46,282.087
S,eptember,"122,140",181.15**,8.18,180.988
O,,"135,907",181.15**,7.54,185.631
,ctober,,,,
N,ovember,"184,158",181.15**,8.18,272.887
D,,,181.15**,8.04,
,ecember,"248,592",,,362.061
