0,1,2,3,4,5,6
"Dep
Year
Arr",,"Dep
Arr","--
--
---------------------------
--
---------------------------
--
Dep
Arr
-
-
-
-
-
-","Dep
Arr","--
---------------------
- ----
--
---------------------
- ----
Dep
Arr
69,181
66,610
81,524
79,020
82,003
72,800
95,108
106,876
70,402
93,168
61,568
99,796
-
-","Dep
Dep
Arr
Arr"
"1979
1980
1981
1982
1983
1984
1985
1986
1987
1988
1989
1990
1991
1992
1993
1994
1995
1996
1997
1998
1999
2000
2001
2002
2003
2004
2005
2006
2007
2008
2009
2010
2011
2012","302,280
325,710",,,,,"3,267
3,626
374,728
395,946"
,"364,018
388,270","--
--",,"--
--",,"3,309
1,966
448,851
469,256"
,"493,619
562,421",,,,,"2,599
2,456
578,221
637,677"
,"584,326
546,490",,,,,"2,226
2,175
681,660
655,541"
,"559,276
534,217",,,,,"1,862
2,277
631,540
629,662"
,"593,883
650,812",,,,,"1,738
1,760
657,189
752,368"
,"543,397
585,213",,,,,"1,927
1,735
545,324
586,948"
,"570,304
591,448",,,,,"1,875
1,561
572,179
593,009"
,"512,289
548,408",,,,,"1,797
1,533
514,086
549,941"
,"516,400
544,760",,,,,"2,100
2,200
518,500
546,960"
,"552,189
563,027",,,,,"1,493
1,286
553,682
564,313"
,"603,595
581,698",,,,,"3,493
1,756
607,088
583,454"
,"646,869
712,073",,,,,"2,706
2,366
649,575
714,439"
,"764,453
836,310",,,,,"2,794
2,919
767,247
839,229"
,"813,535
823,841",,,,,"3,551
3,134
817,086
826,975"
,"893,387
892,778","---------------------------
---------------------------",,"---------------------------
---------------------------",,"4,120
4,392
897,507
897,170"
,"912,877
946,109",,,,,"5,897
8,105
918,774
954,214"
,"857,727
851,272",,,,,"3,628
3,668
861,355
854,940"
,"904,712
916,397",,,,,"3,793
3,578
908,505
919,975"
,"921,343
938,656",,,,,"3,793
3,619
925,136
942,275"
,"970,311
977,066",,,,,"3,595
3,114
973,906
980,180"
,"999,418
970,383",,,,,"2,933
2,827
1,002,351
973,210"
,"971,621
962,586",,,,,"2,942
2,682
974,563
965,268"
,"912,419
950,655",,,,,"2,947
2,804
915,366
953,459"
,"1,140,687
1,102,864",,,,,"1,532
1,729
1,142,219
1,104,593"
,"1,459,575
1,484,685",,,,,"2,112
2,255
1,461,687
1,486,940"
,"1,360,217
1,396,227",,,,,"1,930
1,560
1,362,147
1,397,787"
,"1,444,408
1,474,559",,,,,"360
401
1,444,768
1,474,960"
,"1,529,930
1,565,341",,,,,"338
2 1 1
1,530,268
1,565,552"
,"1,644,172
1,707,376","-
-",,"-
-",,"145
168
1,644,317
1,707,544"
,"1,644,142
1,673,265","-
-",,"-
-",,"420
379
1,644,562
1,673,644"
,"2,111,629
2,128,404","-
-",,"-
-",,"385
356
2,112,014
2,128,760"
,"2,435,660
2,464,622",,,,,"1,842
1,842
2,437,502
2,466,464"
,"2,518,082
2,571,871","--
--",,"--
--",,"3,136
3,084
2,521,218
2,575,007"
