0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Occupancy 2024,,,,,,,,,,,,,
,"Table 20: Occupancy of graded establishments from different districts by months, 2024",,,,,,,,,,,,,
,No of,,,,,,,,,,,,,
,,,,,,,,,,,,,,Average
,hotels,January,February,March,April,May,June,July,August,September,October,November,December,
District,,,,,,,,,,,,,,
,,,,,,,,,,,,,,occupancy
Ampara,3,26.3,22.6,23.5,25.8,30.7,36.6,51.0,60.1,43.7,16.0,10.6,24.7,
,,,,,,,,,,,,,,31.0
Anuradhapura,9,34.4,32.0,30.5,23.9,17.0,18.2,29.3,38.3,25.3,27.3,27.5,27.3,
,,,,,,,,,,,,,,27.6
Badulla,6,49.4,54.2,57.2,53.6,29.5,27.2,45.0,57.9,44.3,35.4,47.1,34.8,
,,,,,,,,,,,,,,44.6
Batticaloa,7,47.7,54.0,57.7,60.5,56.7,65.1,78.7,89.3,65.2,40.1,27.8,42.9,
,,,,,,,,,,,,,,57.1
Colombo,31,55.2,55.5,56.0,42.9,46.9,47.1,60.9,60.8,49.4,55.6,55.4,50.5,
,,,,,,,,,,,,,,53.0
Galle,38,68.7,66.0,61.3,47.8,29.1,24.5,33.4,38.6,34.4,38.8,42.7,51.3,
,,,,,,,,,,,,,,44.7
Gampaha,19,72.3,70.5,68.0,54.9,44.2,40.1,53.7,58.3,45.9,43.3,41.7,37.5,
,,,,,,,,,,,,,,52.5
Hambantota,10,61.7,69.5,72.2,53.3,31.7,26.4,45.5,57.8,34.8,48.1,55.6,64.9,
,,,,,,,,,,,,,,51.8
Jaffna,4,58.1,54.1,46.6,38.0,36.9,38.0,52.7,60.1,37.5,30.7,28.1,40.0,
,,,,,,,,,,,,,,43.4
Kalutara,15,73.9,70.6,72.1,53.4,35.4,28.4,37.5,47.2,39.7,38.9,51.3,57.6,
,,,,,,,,,,,,,,50.5
Kandy,16,60.2,57.1,64.0,49.9,34.3,35.0,50.2,57.7,42.8,42.4,46.6,47.1,
,,,,,,,,,,,,,,48.9
Kegalle,3,9.8,8.1,9.7,11.1,9.7,8.6,9.9,12.3,12.0,12.7,12.2,14.4,
,,,,,,,,,,,,,,10.9
Kurunegala,2,8.1,8.7,9.6,8.3,8.9,5.7,11.8,4.6,6.7,3.1,8.0,3.8,
,,,,,,,,,,,,,,7.3
Matale,19,40.8,46.1,44.9,35.3,22.4,24.3,42.8,44.1,31.7,34.8,40.5,38.7,
,,,,,,,,,,,,,,37.2
Matara,8,65.4,60.8,64.5,53.7,31.7,21.9,38.1,45.3,31.2,39.8,47.8,62.4,
,,,,,,,,,,,,,,46.9
Moneragala,6,18.6,18.9,17.9,17.9,10.8,11.2,17.6,21.2,13.0,12.2,17.2,18.2,
,,,,,,,,,,,,,,16.2
Nuwara Eliya,10,53.8,56.1,54.4,58.1,38.4,33.6,48.2,53.7,37.4,36.9,48.6,43.8,
,,,,,,,,,,,,,,46.9
Polonnaruwa,2,34.8,43.3,35.9,28.3,16.3,18.1,35.5,50.1,21.3,19.0,25.2,37.9,
,,,,,,,,,,,,,,30.5
Puttalam,4,58.8,55.8,57.6,46.0,30.6,29.2,45.7,39.0,31.4,33.8,44.3,27.6,
,,,,,,,,,,,,,,41.6
Rathnapura,5,26.2,23.5,29.7,17.8,12.5,19.9,15.3,23.0,28.1,16.8,17.0,17.9,
,,,,,,,,,,,,,,20.6
Trincomalee,3,40.4,43.6,43.9,45.3,38.6,43.9,64.8,72.2,49.7,33.2,25.2,21.5,
,,,,,,,,,,,,,,43.5
Vavuniya,1,75.0,83.3,91.7,91.7,100.0,83.3,100.0,100.0,83.3,75.0,66.7,66.7,
,,,,,,,,,,,,,,84.7
TOTAL,221,47.3,47.9,48.6,41.7,32.4,31.2,44.0,49.6,36.8,33.4,35.8,37.8,
,,,,,,,,,,,,,,44.5
