0,1,2
"Table 09: Total rooms by provinces, 2024 & January to June 2025",,
P,Number of rooms,Number of Rooms
rovince,,
,Jan – June 2025,Jan – June 2024
Central Province,"9,437","8,771"
Eastern Province,"2,749","2,526"
North Central Province,"2,505","2,355"
North Western Province,"2,235","2,093"
Northern Province,"1,071","1,068"
Sabaragamuwa Province,"1,472","1,395"
Southern Province,"14,536","13,716"
Uva Province,"2,773","2,738"
Western Province,"19,924","18,716"
Total number of rooms,"56,702","53,378"
