0,1,2,3,4,5,6,7,8
,,,,,,,Total,
,,April 2022,,,,,,
,,,,,,,,%
,,,,Tourist,%,Total Tourist,Tourist,
,,,,,,,,Change
,,Tourist Arrivals,,Arrivals,Change,Arrivals up to,Arrivals,
,,,,,,,,up to
,,,,April,April,April,up to,
,,By,,,,,,April
,By Air,,Total,2021,(22/21),2022,April,
,,Sea,,,,,,(20/21)
,,,,,,,2021,
ASIA &,"15,465",-,"15,465","1,490",-,"87,971","2,510",-
PACIFIC,,,,,,,,
North East,678,-,678,501,-,"2,496",905,-
Asia,,,,,,,,
China,261,-,261,475,-,"1,111",842,-
Japan,249,-,249,19,-,689,41,-
South Korea,151,-,151,2,-,572,14,-
Taiwan,16,-,16,5,-,87,8,-
Others,1,-,1,-,-,37,-,-
South East,"1,087",,"1,087",56,-,"4,039",128,-
Asia,,,,,,,,
Cambodia,4,-,4,-,-,49,1,-
Indonesia,56,-,56,6,-,324,17,-
Malaysia,244,-,244,8,-,867,15,-
Myanmar,42,-,42,5,-,100,11,-
Philippines,246,-,246,28,-,768,57,-
Singapore,289,-,289,4,-,"1,290",9,-
Thailand,123,-,123,3,-,437,11,-
Vietnam,83,-,83,2,-,186,7,-
Others,0,-,0,-,-,18,-,-
,"3,839",,"3,839",74,-,"11,206",145,-
Oceania,,,,,,,,
,"3,508",-,"3,508",60,-,"10,369",116,-
Australia,,,,,,,,
,329,-,329,14,-,818,29,-
New Zealand,,,,,,,,
,2,-,2,-,-,19,-,-
Others,,,,,,,,
South Asia,"9,861",-,"9,861",859,-,"70,230","1,332",-
,0,-,0,1,-,18,2,-
Afghanistan,,,,,,,,
,155,-,155,5,-,"1,167",14,-
Bangladesh,,,,,,,,
,2,-,2,-,-,49,1,-
Bhutan,,,,,,,,
,"8,678",-,"8,678",796,-,"56,389","1,075",-
India,,,,,,,,
,227,-,227,4,-,"3,025",69,-
Iran,,,,,,,,
,567,-,567,32,-,"6,410",118,-
Maldives,,,,,,,,
,94,-,94,3,-,477,5,-
Nepal,,,,,,,,
,138,-,138,18,-,"2,695",48,-
Pakistan,,,,,,,,
EUROPE,"41,688",,"41,688","2,120",,"230,819","10,065",-
Northern,"14,690",,"14,690",407,-,"55,358",946,-
Europe,,,,,,,,
Denmark,"1,307",-,"1,307",10,-,"4,724",42,-
Finland,169,-,169,10,-,919,19,-
,587,-,587,17,-,"2,471",52,-
Norway,,,,,,,,
,464,-,464,19,-,"2,690",50,-
Sweden,,,,,,,,
United,"11,539",-,"11,539",334,-,"42,531",732,-
Kingdom,,,,,,,,
,624,-,624,17,-,"2,023",51,-
Others,,,,,,,,
