0,1,2,3,4,5,6,7,8
,International tourist arrivals by country of residence,,,,,,,
,,April 2022,,,,Total,Total,%
,,,,Tourist,%,,,
,,,,,,Tourist,Tourist,Change
,,,,Arrivals,Change,,,
,,,,,,Arrivals up,Arrivals,up to
,,Tourist Arrivals,,April,April,,,
,,,,,,to April,up to April,April
,,,,2021,(22/21),,,
,,,,,,2022,2021,(20/21)
,By Air,By Sea,Total,,,,,
,"4,309",-,"4,309",416,-,"18,455",918,-
AMERICAS,,,,,,,,
North,,,,,,,,
,"3,990",-,"3,990",393,-,"17,498",873,-
America,,,,,,,,
,"2,083",-,"2,083",144,-,"8,696",352,-
Canada,,,,,,,,
,35,-,35,1,-,132,6,-
Mexico,,,,,,,,
,"1,872",-,"1,872",248,-,"8,670",515,-
United States,,,,,,,,
Caribbean &,45,-,45,7,,148,14,
Central,,,,,,,,
America,,,,,,,,
,5,-,5,-,,27,-,-
Costa Rica,,,,,,,,
,2,-,2,-,-,8,1,-
Jamaica,,,,,,,,
,38,-,38,7,-,113,13,-
Others,,,,,,,,
South,,,,,,,,
,274,-,274,16,-,809,31,-
America,,,,,,,,
,27,-,27,5,,119,5,
Argentina,,,,,,,,
,135,-,135,6,-,319,12,-
Brazil,,,,,,,,
,12,-,12,-,-,85,1,-
Chile,,,,,,,,
,61,-,61,4,-,149,9,-
Colombia,,,,,,,,
,39,-,39,1,-,137,4,-
Others,,,,,,,,
AFRICA,450,-,450,56,-,"2,205",91,-
,74,-,74,4,-,929,6,-
North Africa,,,,,,,,
,23,-,23,2,-,203,3,-
Morocco,,,,,,,,
,15,-,15,1,-,469,2,-
Sudan,,,,,,,,
,36,-,36,1,-,257,1,-
Others,,,,,,,,
Sub-Saharan,376,-,376,52,-,"1,276",85,-
Africa,,,,,,,,
,20,-,20,1,-,100,2,-
Kenya,,,,,,,,
,12,-,12,0,-,42,3,-
Mauritius,,,,,,,,
,5,-,5,2,-,16,2,-
Nigeria,,,,,,,,
,257,-,257,31,-,781,55,-
South Africa,,,,,,,,
,82,-,82,18,-,337,23,-
Others,,,,,,,,
