0,1,2,3
Sri Lanka Tourism Development Authority - Weekly Report,,,
"Top ten source markets, 01st to 04th December 2024",,,
,,Number of,
Rank,Country,,
,,,Share %
,,Tourists,
1,Russian Federation,,18.4%
,,"4,418",
2,India,,18.0%
,,"4,317",
3,U,,6.6%
,nited Kingdom,"1,592",
4,Poland,,5.2%
,,"1,249",
5,C,,5.1%
,,"1,210",
,hina,,
6,Australia,,4.9%
,,"1,177",
7,G,"1,161",
,ermany,,4.8%
8,F,,3.0%
,rance,710,
9,B,,2.5%
,angladesh,604,
10,,,2.4%
,,583,
,United States,,
,,"11,510",
,O,,29.0%
,ther,"6,937",
11,,,
,Total,"23,958",
