0,1,2,3,4
Rank,,Country,"Number of  
Tourists",Share %
1,,"I
ndia","30,593",22%
"2
  U
 
 
 
 
nited Kingdom  
15,035 
11%",,,,
"3
  4",,"C
  G
hina  
ermany","9,262 
 
8,472","7% 
 
6%"
5,,"R
ussian Federation","6,853",5%
"6
  7
  8
  9
 
 
 
 
 
10 
 
11",,"F
     A
  I
  C
  S
  O
rance 
ustralia 
taly 
anada 
pain 
thers 
Total","6,223 
 
5,522 
 
5,110 
 
4,735 
 
4,455 
 
40,145 
136,405","5% 
 
4% 
 
4% 
 
4% 
 
         3% 
 
29% 
 
100.00"
