0,1,2,3,4,5,6,7,8,9,10,11,12,13
COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,"TOTAL UP 
TO END OF 
DECEMBER"
MALTA,47,35,68,34,13,14,53,51,56,13,38,87,509
"MARSHALL ISLANDS, 
REPUBLIC OF THE",0,1,0,0,1,0,0,1,0,0,1,0,4
"MAURITANIA, ISLAMIC 
REPUBLIC OF",1,1,1,0,0,0,0,0,0,0,0,0,3
"MAURITIUS, REPUBLIC OF",56,100,60,40,24,34,72,32,79,28,97,98,720
MEXICO,84,87,180,496,72,60,76,68,73,79,112,116,"1,503"
"MICRONESIA, FEDERATED 
STATES OF",0,1,0,0,0,0,0,0,0,1,0,1,3
"MOLDOVA, REPUBLIC OF",100,56,68,30,18,11,14,23,26,11,42,53,452
"MONACO, PRINCIPALITY OF",5,7,9,1,1,1,2,8,0,2,1,24,61
MONGOLIA,21,9,23,10,6,10,21,8,24,9,22,18,181
MONTENEGRO,17,21,14,11,11,24,8,18,17,11,65,14,231
"MOROCCO, KINGDOM OF",86,101,97,98,31,60,72,127,63,73,81,147,"1,036"
"MOZAMBIQUE, REPUBLIC 
OF",2,24,1,2,0,1,3,5,2,4,1,7,52
"MYANMAR, REPUBLIC OF 
THE UNION OF",372,123,172,309,113,127,230,695,159,138,372,431,"3,241"
"NIGER,REPUBLIC OF",0,0,1,0,0,0,0,0,0,0,0,0,1
NAMIBIA,5,3,19,6,1,5,0,6,3,3,0,20,71
NAURU,0,1,0,0,0,0,,0,0,0,0,0,1
"NEPAL, FEDERAL 
DEMOCRATIC REPUBLIC OF",566,401,367,366,472,444,352,444,377,642,391,480,"5,302"
NETHERLANDS,"5,061","4,739","4,532","3,989","2,051","2,350","13,342","6,182","4,049","3,222","3,320","4,323","57,160"
NETHERLAND ANTILLES,0,0,1,0,0,0,0,0,0,0,0,0,1
NEW ZEALAND,989,655,"1,004","1,540",620,"1,613","1,376","1,091",923,947,"1,129","1,938","13,825"
NICARAGUA,4,0,5,6,1,1,2,0,1,2,3,3,28
NIGER,0,0,0,1,1,0,2,0,1,0,0,0,5
"NIGERIA, FEDERAL 
REPUBLIC OF",44,38,42,28,39,22,24,28,47,36,37,27,412
