0,1,2,3,4,5,6,7,8,9,10,11,12
Carrier,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Inter - Regional Flights,77.6,78.1,82.5,81.5,86.2,87.8,86.9,92.3,96,84.7,78.3,79.6
Intra - Regional Flights,20.6,18.8,16.2,17.4,11.8,11.3,9.7,5.6,2.4,13.5,18.1,14.8
Charter Flights,1.7,3.0,1.2,1.0,1.8,0.6,1.4,0.4,0.2,0.6,2.4,1.9
TOTAL AIR,99.9,99.9,99.9,99.9,99.8,99.7,98.0,98.3,98.6,98.8,98.8,96.3
Passenger Ships (CBO / GALLE),0.1,0.1,0.1,0.1,0.2,0.3,0.2,1.7,1.4,1.2,1.2,3.7
TOTAL SEA,0.1,0.1,0.1,0.1,0.2,0.3,0.2,1.7,1.4,1.2,1.2,3.7
TOTAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
