0,1,2,3,4,5,6,7,8,9
,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tourist Arrivals,"654,476","855,975","1,005,605","1,274,593","1,527,153","1,798,380","2,050,832","2,116,407","2,333,796"
,,,,,,,,,
Excursionist Arrivals,"112,497","119,875","126,523","140,009","138,097","195,143","116,544","131,409","186,862"
,,,,,,,,,
"Oﬃ  cial Receipts * 
Rs. mn.","65,018.00","91,926.00","132,427.00","221,147.10","317,502.20","405,492.00","512,593.60","598,356.00","712,027.00"
,,,,,,,,,
US$ mn.,575.9,838.9,"1,038.3*","1,715.50","2,431.10","2,980.60","3,518.50","3,924.90","4,380.60"
,,,,,,,,,
SDR Units (mn.),376.9,530.2,677.7,"1,128.80","1,600.30","2,129.7*","2,531.3*","2,829.20","3,097.10"
,,,,,,,,,
"Receipt per Tourist 
per day *  (USD)",88,98,103,156.5,160.8,164.1,168.2,170.1,173.8
