0,1,2,3,4,5
AGE,,,,,
(3-19),(20-29),(30-39),(40-49),(50-59),(60 & above)
"20,503","18,004","25,374","22,144","22,887","28,712"
"20,047","16,160","22,449","20,924","22,017","27,895"
"9,661","5,892","7,405","8,394","10,005","11,324"
90,349,537,244,155,128
"10,296","9,919","14,507","12,286","11,857","16,443"
63,146,232,180,153,136
2,12,27,19,32,40
1,15,27,30,19,10
60,119,178,131,102,86
393,"1,698","2,693","1,040",717,681
63,400,612,270,225,239
205,553,"1,059",445,248,264
38,292,407,116,90,59
42,199,261,92,59,49
45,254,354,117,95,70
"122,217","210,134","211,609","150,920","166,755","156,226"
"49,628","60,099","58,088","48,291","56,413","66,528"
"3,091","4,917","2,248","2,398","3,131","3,438"
705,"2,066","2,010","1,094","1,248","1,765"
"2,987","3,817","2,559","2,498","3,037","2,319"
"3,487","5,660","4,953","3,481","4,443","6,243"
"38,478","40,520","42,878","37,424","43,279","51,597"
880,"3,119","3,440","1,396","1,275","1,166"
"47,357","86,914","68,334","50,423","73,839","65,489"
"1,117","4,675","3,577","2,231","3,928","3,792"
"2,626","4,674","2,563","2,518","2,811","2,327"
"15,381","19,659","19,008","15,271","17,419","19,711"
"14,311","35,802","29,082","18,341","33,494","25,858"
"8,117","14,810","8,579","6,903","9,788","8,963"
"5,695","7,069","5,297","5,042","6,240","4,622"
110,225,228,117,159,216
"16,639","39,321","55,185","32,804","21,349","11,607"
391,"1,322","1,537",753,463,155
"1,664","3,869","3,926","3,541","2,626","1,974"
332,367,729,575,466,275
324,671,"1,241",967,631,680
378,597,766,469,349,162
204,745,909,656,581,291
"2,166","3,450","5,588","4,348","2,713","2,113"
424,"1,040","2,345","1,173",606,343
"6,235","14,664","21,673","10,915","7,713","3,297"
