0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Class of,No of Units,,No of Rooms,,No of Beds,,Total Guest Nights,,Foreign Guest Nights,,Local Guest Nights,,"Occupancy 
Rate",
,Accommoda(cid:415) on,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
A,Hotel **,436,457,"23,701","24,757","48,550","50,897","13,415,027","14,592,935","11,609,886","12,608,044","1,805,141","1,984,891",73.27,72.77
,5 Star,20,23,"4,217","5,150","8,720","9,141","2,493,193","2,935,665","2,228,806","2,684,928","264,387","250,737",74.64,73.13
,4 Star,18,21,"2,092","2,302","4,326","4,535","1,179,622","1,341,756","1,022,881","1,163,791","156,741","177,965",72.81,72.31
,3 Star,25,24,"2,957","2,416","6,115","6,411","1,773,795","1,720,580","1,648,554","1,592,690","125,241","127,890",73.45,72.95
,2 Star,36,38,"1,718","1,788","3,553","3,725","988,223","1,043,308","879,092","945,988","109,131","97,320",72.89,72.39
,1 Star,40,39,"1,767","1,752","3,654","3,831","914,733","1,039,070","715,856","833,143","198,877","205,927",71.54,73.58
,,,,,,,,,,,,,,,
,"S
mall luxury 
Hotel(Bou(cid:415) que 
Hotel / Villa)",61,71,732,893,"1,051","1,102","304,916","340,718","285,683","312,078","19,233","28,640",73.01,71.51
,,,,,,,,,,,,,,,
,Unclassiﬁ ed,236,241,"10,218","10,456","21,131","22,152","5,760,545","6,171,838","4,829,014","5,075,426","931,531","1,096,412",74.54,73.54
,,,,,,,,,,,,,,,
B,"Supplementary
Establishments","1,693","1,855","12,509","13,457","23,392","25,973","7,124,322","7,770,181","6,204,126","6,805,139","920,196","965,042",74.91,69.31
