0,1,2,3,4,5
,,Table 7: TG Population After Possible Turnover,,,
,,,,Future Active,
Type of Guides,Estimated,Active,Turnover %,,
,,,,Pool Size,
NTG,1892,50% |946,20%,757,
,,,,1091,
CTG,1552,95%|1474,26%,,
,,,,,2914
ULTG,1460,100%|1460,27%,1066,
Site & Areas TGs,1443,,,,
,,1443,27%,1053,
Total,,,,,
,,,,3967,
