0,1,2,3
"Table 3. Top ten markets to Sri Lanka, January to December  2021 & 2022",,,
,,Tourist Arrivals,Tourist Arrivals
,Country of,,
Rank,,(Jan ~ December,(Jan ~ December
,Residence,,
,,2022),2021)
1,India,"123,004","56,268"
2,Russian Federation,"91,272","16,894"
3,United Kingdom,"85,187","16,646"
4,Germany,"55,542","12,442"
5,France,"35,482","6,549"
6,Australia,"30,924","4,421"
7,Canada,"26,845","5,079"
8,United States,"22,230","6,124"
9,Maldives,"18,880","6,272"
10,Poland,"18,107","15,195"
11,Others,"212,505","48,605"
Total,,"719,978","194,495"
