0,1,2,3,4,5,6,7,8
,,December  2022,,,,,Total,
,,,,,,Total,,%
,,,,Tourist,%,,Tourist,
,,Tourist Arrivals,,,,Tourist,,Change
,,,,Arrivals,Change,,Arrivals,
,,,,,,Arrivals up,,up to
,,,,Dec.,Dec.,,up to,
,,By,,,,,,
,,,,,,to   Dec.,,Dec.
,By Air,,Total,,,,,
,,,,2021,(22/21),,Dec.,
,,Sea,,,,,,
,,,,,,2022,,(20/21)
,,,,,,,2021,
ASIA &,"32,367",88,"32,455","33,268",(2.44),"213,537","83,926",-
PACIFIC,,,,,,,,
North East,"1,743",-,"1,743",560,211.25,"10,061","3,244",-
Asia,,,,,,,,
China,635,-,635,258,146.12,"4,715","2,417",-
Japan,708,-,708,159,345.28,"3,087",392,-
South,322,-,322,120,168.33,"1,843",389,-
Korea,,,,,,,,
Taiwan,77,-,77,19,305.26,363,42,-
Others,01,-,01,4,(75.00),53,4,-
South East,"2,029",5,"2,034",999,103.60,"12,095","3,617",-
Asia,,,,,,,,
Cambodia,20,-,20,7,185.71,157,14,-
Indonesia,134,-,134,188,(28.72),885,"1,856",-
Malaysia,519,-,519,158,228.48,"2,779",323,-
Myanmar,27,-,27,9,200.00,252,39,-
Philippines,236,-,236,178,32.58,"1,961",529,-
Singapore,715,5,720,306,135.29,"3,770",557,-
Thailand,311,-,311,129,141.09,"1,725",247,-
Vietnam,58,-,58,24,141.67,519,52,-
Others,09,-,09,0,100.00,47,0,-
Oceania,"5,689",72,"5,761","3,303",74.42,"33,876","4,767",-
Australia,"5,093",65,"5,158","3,129",64.84,"30,924","4,421",-
New,565,7,572,167,242.51,"2,866",325,-
Zealand,,,,,,,,
Others,31,-,31,7,342.86,86,21,-
South Asia,"22,906",11,"22,917","28,406",(19.32),"157,505","72,298",-
Afghanistan,11,-,11,5,120.00,39,15,-
Bangladesh,662,-,662,544,21.69,"3,817","1,496",-
Bhutan,09,-,09,1,800.00,139,5,-
India,"17,339",11,"17,350","23,566",(26.38),"123,004","56,268",-
Iran,362,-,362,181,100.00,"4,301",397,-
Maldives,"3,444",-,"3,444","2,896",18.92,"18,880","6,272",-
Nepal,181,-,181,209,(13.40),"1,065",325,-
Pakistan,898,-,898,"1,004",(10.56),"6,260","7,520",-
EUROPE,"49,713",474,"50,187","48,704",3.04,"432,226","93,495",-
Northern,"9,814",347,"10,161","11,210",(9.36),"108,264","21,632",-
Europe,,,,,,,,
Denmark,544,7,551,656,(16.01),"7,278","1,302",-
Finland,157,2,159,195,(18.46),"1,500",341,-
Norway,398,10,408,447,(8.72),"5,983","1,141",-
Sweden,886,6,892,"1,070",(16.64),"5,097","1,601",-
United,"7,568",311,"7,879","8,493",(7.23),"85,187","16,646",-
Kingdom,,,,,,,,
Others,261,11,272,349,(22.06),"3,219",601,-
