0,1,2,3,4,5,6,7,8
Details	by	Location	–	2017,,,,,,,,
,Local Tickets,,Foreign Tickets,,,,,Total Revenue
,,,,,Vehicle,Boat Income,Total number,(Including the
Location,,,,,,,,
,,Local Income,Foreign,Foreign,Income (Rs.),(Rs.),of Visitors,vehicle and boat
,Local visitors,,,,,,,
,,(Rs.),Visitors,Income (Rs.),,,,income)
Yala,"314,609","18,452,370.38","290,069","623,836,901.52","27,543,125.00",-,"604,678","669,832,396.90"
Horton	Plains,"313,579","17,491,960.00","121,725","269,321,363.50","13,821,200.00",-,"435,304","300,634,523.50"
Udawalawa,"170,849","9,310,837.30","159,532","310,071,962.60","14,998,725.00",-,"330,381","334,381,524.90"
Wasgomuwa,"29,189","1,080,440.00","2,420","3,514,150.00","1,044,275.00",-,"31,609","5,638,865.00"
Minneriya,"92,999","5,066,810.00","89,499","186,824,496.30","8,234,250.00",-,"182,498","200,125,556.30"
Bundala,"11,860","469,680.00","10,947","15,797,975.00","1,234,575.00",-,"22,807","17,502,230.00"
Horagolla,"5,478","217,530.00",10,"14,442.00",-,-,"5,488","231,972.00"
Kaudulla,"107,961","4,240,920.00","121,794","178,626,425.00","11,295,125.00",-,"229,755","194,162,470.00"
Lunugamwehera,"5,787","237,890.00","3,344","4,398,950.00","470,975.00",-,"9,131","5,107,815.00"
Galoya,"11,169","387,380.00","3,782","1,630,590.00","325,975.00","3,925,900.00","14,951","6,269,845.00"
Kumana,"31,494","1,069,910.00","7,251","10,720,450.00","2,216,273.00",-,"38,745","14,006,633.00"
Angammedilla,"3,478","141,810.00",8,"12,226.00","90,650.00",-,"3,486","244,686.00"
Galways	Land,"6,085","212,720.00",280,"391,090.00",-,-,"6,365","603,810.00"
Wilpattu,"46,613","2,726,350.00","24,247","47,975,319.00","2,898,550.00",-,"70,860","53,600,219.00"
Maduruoya,"2,984","137,700.00",304,"517,126.95","138,825.00",-,"3,288","793,651.95"
Lahugala,296,"11,800.00",30,"43,400.00","27,250.00",-,326,"82,450.00"
Pigeon	Island,"79,531","3,131,390.00","25,128","35,825,650.00",-,"2,326,126.00","104,659","41,283,166.00"
Hikkaduwa,"23,270","108,380.50","2,508","70,350.00",-,-,"25,778","178,730.50"
Eth	Athurusevana,"163,580","2,996,455.00","67,877","36,621,000.00",-,-,"231,457","39,617,455.00"
Kalawewa,425,"18,600.00",41,"60,000.00","27,000.00",-,466,"105,600.00"
Bar	Reef	-	Kalpitiya,"9,578","189,730.00","3,837","4,444,440.00",-,-,"13,415","4,634,170.00"
TOTAL,"1,430,814","67,700,663.18","934,633","1,730,718,307.87","84,366,773.00","6,252,026.00","2,365,447","1,889,037,770.05"
