0,1,2,3
Revenue	from	Embarkation	Tax	(in	Rs.	’000)	–	1986	to	2017,,,
,,Table	39(contd.),
Year,Total Amount in Rs. ’000,Year,Total Amount in Rs. ’000
1987,"36,421.2",2003,"500,646.0"
1988,"37,201.2",2004,"566,202.0"
1989,"53,861.0",2005,"823,962.0"
1990,"99,020.3",2006,"839,404.5"
1991,"130,943.1",2007,"741,012.0"
1992,"177,151.1",2008,"738,821.9"
1993,"196,125.0",2009,"766,266.7"
1994,"203,755.5",2010,"1,000,080.0"
1995,"201,550.5",2011,"1,041,700.0"
1996,"151,132.5",2012,"1,161,686.0"
1997,"183,082.5",2013,"1,604,887.1"
1998,"190,531.5",2014,"1,779,766.1"
1999,"218,220.0",2015,"1,968,541.1"
2000,"200,207.0",2016,"2,355,444.2"
2001,"269,268.0",2017,"2,378,828.2"
2002,"393,171.0",Source:	SLTDA,
