0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table	9	(contd.),,,,,,,,,,,,,,,,,
Africa,"12,703",467,7,172,68,0,297,236,3,"2,576",385,600,56,4,250,981,39
South	Africa,"5,726",220,3,68,16,0,224,190,3,"1,494",211,223,22,3,94,943,8
Other,"6,977",247,4,104,52,0,73,46,0,"1,082",174,377,34,1,156,38,31
Middle East,"95,581","1,110",73,524,"3,906",18,571,240,44,"15,888","3,628","5,818","2,122",521,694,311,"2,568"
Saudi	Arabia,"35,481",273,44,71,"2,026",2,13,72,23,"4,306",978,"2,213",943,152,84,126,619
United	Arab,,,,,,,,,,,,,,,,,
,"7,136",7,1,31,750,0,7,10,0,"3,080","1,051",777,10,3,36,13,6
Emirates,,,,,,,,,,,,,,,,,
Israel,"11,080",55,14,320,11,12,78,47,3,"2,040",449,142,22,6,226,91,309
Kuwait,"4,327",17,4,7,32,1,4,1,1,240,31,116,9,8,5,5,"1,078"
Oman,"8,343",46,1,13,107,3,11,3,0,592,114,305,33,9,37,6,48
Others,"29,214",712,9,82,980,0,458,107,17,"5,630","1,005","2,265","1,105",343,306,70,508
East Asia,"444,310","32,780","32,216","2,083","1,662",15,"46,605","37,032 2,562",,"10,885",878,"4,524",944,86,"1,658","8,947","1,835"
China,"268,952","20,339","31,841",950,"1,199",5,"39,353","33,043 2,413",,"2,536",233,"1,188",244,40,970,"1,410",381
Indonesia,"25,806","1,422",8,46,178,1,30,22,9,356,29,336,51,0,20,30,17
Japan,"44,988","2,202",271,438,33,6,"3,132","2,470",41,743,191,212,35,13,232,802,204
Malaysia,"26,414","5,657",4,33,5,0,84,297,2,"2,520",15,112,25,1,44,"1,044",25
Philippine,"16,845",514,5,41,200,1,584,45,7,"1,408",243,"1,831",498,26,75,60,87
Singapore,"19,457",389,14,54,3,0,129,27,4,"2,496",52,317,15,0,121,22,10
Thailand,"10,828",123,4,28,4,0,21,19,2,93,13,39,4,1,13,10,40
South	Korea,"15,963",816,27,365,15,1,"1,603",994,58,266,58,169,29,4,101,"5,471","1,031"
Others,"15,057","1,318",42,128,25,1,"1,669",115,26,467,44,320,43,1,82,98,40
South Asia,"518,085","1,886",131,"36,187","2,424",2,544,"2,246 1,274",,"35,273","1,064","7,131","1,091",297,"46,951 15,232",,"2,383"
India,"384,628","1,010",94,"35,953","1,424",1,398,180,56,"5,624",669,"5,584",923,88,"46,042","9,284",344
Bangladesh,"15,510",62,3,64,36,0,9,24,4,217,27,184,49,1,497,72,58
Pakistan,"31,815",161,11,20,227,0,66,29,7,"2,133",262,805,85,10,53,22,80
Maldives,"79,371",542,14,48,9,0,54,"1,989 1,205",,"26,506",50,60,1,3,63,"5,751","1,843"
Others,"6,761",111,9,102,728,1,17,24,2,793,56,498,33,195,296,103,58
Australasia,"92,003","9,038",48,"1,004",111,6,"2,366",204,85,"10,442","1,334","1,072",123,35,811,351,217
Australia,"81,281","8,096",46,870,63,5,"2,044",151,63,"9,343","1,159",871,83,20,689,289,161
New	Zealand,"10,332",939,2,133,19,1,321,52,22,"1,064",169,158,35,15,117,60,40
Others,390,3,0,1,29,0,1,1,0,35,6,43,5,0,5,2,16
Total,"2,116,407","63,424","33,440","56,797","28,224","5,045","58,427","43,528 4,523",,"303,732","65,534","59,840","12,935","2,694","70,413 33,809",,"17,361"
