0,1,2,3,4,5
,2016,,,2017,
Source Market,,,Source Market,,
,Total Arrivals,% Distribution,,Total Arrivals,% Distribution
India,"356,729",17.39,India,"384,628",18.17
China,"271,577",13.24,China,"268,952",12.70
United	Kingdom,"188,159",9.17,United	Kingdom,"201,879",9.53
Germany,"133,275",6.50,Germany,"130,227",6.15
France,"96,440",4.70,France,"97,	282",4.59
Maldives,"95,167",4.64,Australia,"81,281",3.84
Australia,"74,496",3.63,Maldives,"79,371",3.75
Russia,"58,176",2.84,Russia,"59,191",2.80
USA,"54,254",2.65,USA,"57,479",2.72
Canada,"44,122",2.15,Netherlands,"51,148",2.42
Total,"1,372,395",66.92,Total,"1,411,438",66.69
