0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Country North America,Malaysian Airlines501,Malindo Air506,"Oman Air1,026","Qatar Airlines11,266","Royal flight airlines1,268",Saudi Arabi-an Airlines511,Silk Air341,"Singapore Airlines2,139",Spice Jet612,"SriLankan Airlines34,917","Sriwijaya Air7,359","Thai Airways1,110",Turkish Airline643,Ukraine int. Airlines142,"Charter Fights1,712",By Sea934
Canada,211,225,607,"4,850",630,346,83,345,240,"18,639","3,906",339,232,61,544,215
USA,290,281,419,"6,416",638,165,258,"1,794",372,"16,278","3,453",771,411,81,"1,168",719
Latin America & The,,,,,,,,,,,,,,,,
,87,49,45,334,1,10,34,104,13,"2,166",24,175,45,61,8,112
Caribbean,,,,,,,,,,,,,,,,
Western Europe,"1,688","1,543","37,157","113,100","11,299","4,465",586,"2,344",,"3,233 126,740","25,253",,"2,430 13,265","6,727","11,774","4,838"
Austria,28,25,719,"4,060",42,18,2,34,22,"1,322",304,73,189,87,86,54
Belgium,49,32,135,"3,831",294,73,17,49,46,"1,662",492,37,597,488,124,68
Denmark,47,49,"1,339","3,922",178,68,6,37,34,"2,877",433,80,620,157,46,94
France,210,192,"6,697","18,663","1,187","1,488",97,300,272,"12,327","1,891",319,"3,270","1,925","1,150",445
Netherlands,133,150,664,"6,500","6,613",804,36,151,126,"5,913","1,648",156,"1,034",807,315,159
Italy,65,51,"1,794","6,133",69,95,8,80,77,"3,381",791,116,660,468,908,"1,047"
Norway,25,25,858,"3,945",275,62,4,33,44,"2,786",461,85,444,105,78,94
Spain,43,51,247,"5,749",146,581,15,43,112,"2,982",714,54,537,147,245,111
Sweden,44,57,585,"7,391",516,41,19,58,49,"3,976",493,135,930,298,"1,339",54
Switzerland,56,63,"4,098","5,728",127,38,37,153,71,"2,751",823,151,189,72,180,103
United	Kingdom,784,585,"6,753","21,773",318,793,271,"1,053",632,"61,777","13,227",764,"1,241",602,"5,626","1,965"
Germany,163,216,"13,082","23,295","1,487",365,60,266,234,"10,834","3,623",381,"2,684","1,288",986,628
Others,41,47,186,"2,110",47,39,14,87,"1,514","14,152",353,79,870,283,691,16
Eastern Europe,"1,296",595,"1,265","13,671","4,134","1,168",406,"2,197",622,"9,915","1,944",878,"3,220","8,818","12,482","6,943"
Russian	Federation,54,102,143,"5,359","3,312","1,027",16,69,182,"1,594",612,248,493,289,"6,554",699
Ukraine,14,47,130,"1,323",38,19,0,42,110,"1,161",332,58,376,"5,612","1,837","1,720"
