0,1,2
Resort Region,,Occupancy Rate
,2016,2017
Colombo	City,76.75%,75.31%
Greater	Colombo,75.18%,73.14%
South	Coast,74.24%,72.38%
East	Coast,74.92%,72.95%
Hill	Country,75.24%,73.55%
Ancient	Cities,75.46%,73.85%
Northern	Region,69.58%,70.98%
