0,1,2,3,4,5,6
Public	Sector	Revenue	from	Tourism	(in	Rs.	Mn)	–	2012	to	2017,,,,,,
Source of Revenue,,,,,,
,2012,2013,2014,2015,2016,2017
(Rs. Mn),,,,,,
Tourism	Development	Levy,809.4,"1,014.20","1,005.60","1,014.80","1,276.80","1,541.50"
Income	of	Tourism	Development,,,,,,
,130.3,136.4,149.3,126.1,168.7,248.9
Authority,,,,,,
Embarkation	Tax	on	Foreign	Tourists,"1,161.70","1,604.80","1,779.80","1,968.50","2,355.40","2,378.80"
Cultural	Triangle,"1,330.70","1,727.10","2,178.50","2,495.50","3,363.30","3,774.40"
Botanical	Gardens,279,314.9,369.8,435.1,594.3,640
Zoological	Gardens,480.7,550.9,745.8,813.9,841.1,728.9
Wildlife	Parks,424.8,578.4,831.6,"1,011.60","1,445.90","1,730.70"
Conservation	Forests*,−−,−−,−−,−−,−−,25.40
Museums,16.8,14.9,15.8,27.5,33.6,50.2
BMICH,239.2,233.7,400.2,389.7,551.4,648.8
Total,"4,872.60","6,175.30","7,476.40","8,282.70","10,630.50","11,767.60"
