0,1,2,3,4,5,6,7,8,9,10
,,,Sex,,,,,Age Group,,
Country of Residence,Total,,,,,,,,,
,,Male,,Female,(3‐19),(20‐29),(30‐39),(40‐49),(50‐59),(60 & Over)
NORTH AMERICA,"91,956","48,328",,"43,628","13,591","11,981","16,727","16,723","17,334","15,600"
Canada,"38,897","20,162",,"18,735","6,069","4,773","6,601","6,981","8,033","6,440"
USA,"53,059","28,166",,"24,893","7,522","7,208","10,126","9,742","9,301","9,160"
LATIN AMERICA & THE CARIBBEAN,"5,698","2,851",,"2,847",342,"1,006","1,670","1,026","1,066",588
WESTERN EUROPE,"599,415","301,981",,"297,434","60,108","96,144","121,175","101,297","116,328","104,363"
Austria,"14,968","6,973",,"7,995",446,"2,408","2,226","4,142","2,948","2,798"
Belgium,"14,239","7,078",,"7,161",444,"3,226","3,008","3,037","2,568","1,956"
Denmark,"15,339","7,264",,"8,075","1,350","2,560","3,580","3,787","1,882","2,180"
Finland,"3,765","1,664",,"2,101","1,033",570,770,448,464,480
France,"96,505","46,918",,"49,587","13,780","12,754","19,473","11,828","17,936","20,734"
Netherlands,"33,087","16,378",,"16,709","2,964","6,618","6,114","4,938","5,886","6,567"
Italy,"25,162","13,462",,"11,700","1,918","4,198","5,532","4,838","4,524","4,152"
Norway,"12,630","6,432",,"6,198","1,764","2,738","1,474","2,562","2,392","1,700"
Spain,"16,315","7,859",,"8,456",682,"2,598","5,428","2,748","3,115","1,744"
Sweden,"17,615","8,699",,"8,916","1,564","2,682","2,774","2,713","3,344","4,538"
Switzerland,"23,428","11,545",,"11,883","2,812","3,782","4,230","4,048","4,950","3,606"
UK,"175,559","92,725",,"82,834","22,613","25,550","32,236","29,442","31,620","34,098"
Germany,"125,376","59,918",,"65,458","7,942","23,740","23,910","20,350","31,178","18,256"
Others,"25,427","15,066",,"10,361",796,"2,720","10,420","6,416","3,521","1,554"
EASTERN EUROPE,"125,284","59,715",,"65,569","10,865","34,073","36,448","20,570","16,544","6,784"
Russia,"63,648","27,252",,"36,396","6,116","18,518","19,040","10,336","7,322","2,316"
Ukraine,"22,961","10,248",,"12,713","1,665","7,470","6,930","3,592","2,590",714
Others,"38,675","22,215",,"16,460","3,084","8,085","10,478","6,642","6,632","3,754"
AFRICA,"14,473","7,918",,"6,555","1,220","2,346","4,396","2,276","2,364","1,871"
South Africa,"4,791","2,737",,"2,054",592,552,"1,030",784,658,"1,175"
Others,"9,682",5181,,4501,628,"1,794","3,366","1,492","1,706",696
MIDDLE EAST,"101,676","57,523",,"44,153","16,722","27,523","23,757","15,974","10,961","6,739"
Isreal,"8,018","4,543",,"3,475",816,"2,442","1,978",900,974,908
Saudi Arabia,"39,725","23,850",,"15,875","9,381","10,628","9,566","5,346","3,670","1,134"
Kuwait,"5,265","3,156",,"2,109",813,991,917,897,985,662
Oman,"14,541","8,169",,"6,372","1,276","4,794","1,692","4,291","1,512",976
Others,"34,127","17,805",,"16,322","4,436","8,668","9,604","4,540","3,820","3,059"
EAST ASIA,"366,988","170,942",,"196,046","26,363","66,547","82,610","72,000","67,231","52,237"
China,"224,210","93,928",,"130,282","14,910","48,769","54,257","42,059","40,573","23,642"
Indonesia,"19,182","11,598",,"7,584","2,588","3,155","3,817","3,559","3,161","2,902"
Japan,"45,418","23,675",,"21,743","2,296","5,886","8,828","9,032","6,702","12,674"
Malaysia,"21,771","11,889",,"9,882","1,723","2,204","4,462","4,464","4,670","4,248"
Philippines,"7,156","3,021",,"4,135",740,"1,338","2,562","1,672",640,204
Singapore,"16,647","9,590",,"7,057","1,724","1,812","3,099","3,616","3,696","2,700"
Thailand,"10,372","4,534",,"5,838",322,"1,016","1,612","2,606","2,418","2,398"
South Korea,"15,727","9,276",,"6,451","1,729","1,124","2,634","4,056","3,532","2,652"
Others,"6,505","3,431",,"3,074",331,"1,243","1,339",936,"1,839",817
SOUTH ASIA,"420,495","276,719",,"143,776","38,689","68,559","105,985","96,762","62,099","48,401"
India,"278,017","192,957",,"85,060","23,372","36,772","69,536","70,475","42,478","35,384"
Maldives,"95,248","55,229",,"40,019","11,957","18,653","26,387","16,907","12,170","9,174"
Pakistan,"18,975","13,913",,"5,062","1,646","3,124","5,890","3,832","3,219","1,264"
Others,"28,255","14,620",,"13,635","1,714","10,010","4,172","5,548","4,232","2,579"
AUSTRALIA,"72,395","38,510",,"33,885","10,223","11,109","13,141","13,214","11,798","12,910"
Australia,"64,097","34,063",,"30,034","9,349","9,991","11,773","10,951","10,415","11,618"
New Zealand,"8,003","4,341",,"3,662",856,"1,062","1,270","2,205","1,346","1,264"
Others,295,106,,189,18,56,98,58,37,28
TOTAL,"1,798,380","964,487",,"833,893","178,123","319,288","405,909","339,842","305,725","249,493"
