0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,Direct Employment in the Tourist Industry - 2013 to 2015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Table 18
Category of,,,,,Managerial,,,Technical Clerical Allied,,,,,,,
,,No of Establishments,,,,,,,,,Manual & Operative,,,Total,
Establishments,,,,,Scientific & Professional,,,and Supervisory,,,,,,,
,2013,2014,2015,2013,2014,2015 *,2013,2014,2015 *,2013,2014,2015 *,2013,2014,2015 *
Hotels and Restaurants,"1,745","2,040","2,196","11,432","14,889","15,002","43,000","50,853","52,475","36,012","39,259","42,090","90,444","105,001","109,567"
Travel Agents and,,,,,,,,,,,,,,,
,592,678,758,"2,095","2,394","2,556","4,321","5,830","6,046",595,868,882,"7,011","9,092","9,483"
Tour Operators,,,,,,,,,,,,,,,
Airlines,31,29,28,848,896,993,"3,739","3,826","4,028","1,275","1,214","1,348","5,862","5,936","6,369"
Agencies Providing,,,,,,,,,,,,,,,
,62,71,71,156,179,191,302,372,407,254,267,314,712,818,912
Recreational Facilities,,,,,,,,,,,,,,,
Tourist Shops,58,63,66,172,224,230,"1,123","1,287","1,348",195,169,218,"1,490","1,680","1,796"
Guides,,,,,,,"4,295","4,420","4,590",,,,"4,295","4,420","4,590"
National Tourist,,,,,,,,,,,,,,,
,4,4,4,177,190,209,196,212,245,171,196,221,544,598,675
Organisation,,,,,,,,,,,,,,,
State Sector,18,18,18,655,673,736,690,708,808,847,864,994,"2,192","2,245","2,538"
Total,"2,510","2,903","3,141","15,535","19,445","19,916","57,666","67,508","69,947","39,349","42,837","46,067","112,550","129,790","135,930"
