0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Tourist Arrivals by Country of Nationality & Carrier - 2015,,,,,,,,,,,,,,
,,,AUSTRI,,,,,CHINA,,,,,,,,,
,,JET,,MALAYSI,AIR,AIR,MILINDO,,KOREAN,KUWAIT,OMAN,,THAI,TURKISH,ROTANA,,
COUNTRY,SPICEJET,,AN,,,,,EASTERN,,,,SAUDIA,,,,,Table 5 (Cont.)
,,AIRWAYS,,AN AL,INDIA,CHINA,AIR,,AIRLINES,AIRWAYS,AIR,,AIRWAYS,AIRLINE,JET,,
,,,AIRLINE,,,,,AIRLINES,,,,,,,,,
NORTH AMERICA,850,"5,358",24,868,"1,983",184,89,415,505,765,600,341,"1,090",668,122,185,391
Canada,215,"2,789",12,335,826,57,30,191,82,357,212,127,302,195,36,10,68
USA,635,"2,569",12,533,"1,157",127,59,224,423,408,388,214,788,473,86,175,323
LATIN AMERICA &,,,,,,,,,,,,,,,,,
,102,262,-,81,170,13,12,37,46,18,65,19,114,112,1,2,39
CARIBBEAN,,,,,,,,,,,,,,,,,
WESTERN EUROPE,"1,601","14,913",147,"2,159","5,975",177,"2,662",666,838,"4,979","21,115","3,746","1,917","20,424",175,227,"6,713"
Austria,28,78,-,25,70,3,269,6,30,9,496,10,68,659,5,1,9
Belgium,47,"1,607",1,49,72,1,8,11,16,35,94,44,48,653,‐,2,7
Denmark,31,142,2,45,81,4,32,31,72,14,147,9,44,"1,105",‐,5,8
Finland,32,46,1,15,53,10,18,22,13,6,56,4,20,726,‐,1,2
France,253,"3,829",1,291,"1,499",28,54,111,114,"1,874","2,835","2,623",292,"5,518",31,26,91
Netherlands,84,658,10,122,195,4,33,65,72,62,212,30,84,"1,124",10,6,97
Italy,75,308,5,78,435,7,43,44,48,343,"1,780",136,90,743,2,14,45
Norway,47,125,-,33,111,3,1,12,11,20,62,3,62,550,3,1,23
Spain,30,265,3,47,186,13,38,54,54,38,166,160,51,"1,507",6,8,22
Sweden,44,143,9,70,106,7,50,37,43,41,246,6,82,"1,167",‐,8,8
Switzerland,49,259,23,74,183,3,10,6,18,39,"2,058",34,96,296,1,23,11
UK,479,"6,333",6,"1,007","1,967",41,"1,970",118,172,"1,755","4,573",557,610,"1,176",57,48,"4,956"
Germany,270,796,86,216,830,35,82,111,138,672,"8,091",105,308,"1,046",16,59,60
Others,132,324,-,87,187,18,54,38,37,71,299,25,62,"4,154",44,25,"1,374"
Eastern Europe,542,609,68,181,475,12,126,249,446,123,606,185,119,"4,827",38,"2,657","5,415"
Russia,314,265,2,71,257,4,21,135,254,34,109,15,58,692,8,26,"3,751"
Ukraine,63,80,8,24,47,2,16,30,27,28,28,4,15,184,2,28,477
Others,165,264,58,86,171,6,89,84,165,61,469,166,46,"3,951",28,"2,603","1,187"
Africa,67,526,-,65,95,7,7,15,19,54,137,279,33,96,11,74,537
Middle East,234,843,6,204,653,6,41,83,139,"3,554","10,581","13,604",208,"3,032",363,66,401
Asia,"31,880","46,397",7,"12,714","32,030","38,036",380,"13,530","9,947",669,"1,165","8,258","13,660",343,172,785,"11,592"
China,340,"2,307",-,"5,061",622,"37,590",89,"11,419","1,587",83,158,38,"3,403",144,11,321,463
Indonesia,6,34,-,146,12,-,-,9,32,1,20,"7,844",71,3,-,-,29
Japan,112,424,3,"1,441",435,217,6,515,21,-,19,15,"3,190",41,1,18,512
Malaysia,54,50,-,"3,843",72,3,2,6,16,1,48,22,63,8,-,12,19
Philippines,12,51,2,302,17,1,-,16,25,39,125,50,194,18,16,1,"1,538"
Singapore,19,78,-,225,68,3,-,5,3,9,10,4,98,3,1,6,53
Thailand,4,105,-,33,29,1,1,3,6,1,15,5,"2,319",6,-,3,5
Taiwan,14,70,-,139,30,36,-,114,26,3,5,4,128,1,-,1,2
South Korea,164,245,-,383,350,100,3,126,"6,723",20,25,15,507,8,1,2,535
India,"30,886","41,291",-,339,"27,784",21,65,80,101,405,587,158,305,55,129,162,"7,200"
Maldives,23,21,-,207,14,7,214,"1,094","1,272",17,17,51,146,14,2,12,3
Bangladesh,51,776,-,126,75,1,-,6,13,67,34,40,78,13,8,4,2
Others,195,945,2,469,"2,522",56,-,137,122,23,102,12,"3,158",29,3,243,"1,231"
Australasia,305,"1,024",376,"7,351",753,22,31,99,136,123,276,75,"4,510",83,18,72,126
Australia,242,830,375,"6,533",595,17,25,83,91,107,224,54,"4,304",62,13,6,86
New Zealand,63,186,1,818,157,5,6,16,23,16,48,21,192,21,4,2,14
Others,-,8,-,-,1,-,-,-,22,-,4,-,14,-,1,64,26
TOTAL,"35,581","69,932",628,"23,623","42,134","38,457","3,348","15,094","12,076","10,285","34,545","26,507","21,651","29,585",900,"4,068","25,214"
